No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
11,The project manager has gained the support of senior management who has committed to providing the necessary funding to design and develop a prototype for a new initiative. The project manager is working on creating the project charter and needs someone to serve as the project sponsor. Which of the following best meets the needs of the project manager?,,Project manager,Project management office (PMO),Any project team member,Any person external to the project,B,"Projects are initiated by an entity external to the project such as a sponsor, project management office (PMO), or a portfolio governing body chairperson or authorized representative. The project initiator or sponsor should be at a level that is appropriate to procure funding and commit resources to the project. Of the available choices, only the PMO is external to the project and has the authority to allocate resources to initiate a project."
12,"According to the industry's generally accepted best practices, the electrical work on the appliances assembly line should be completed prior to installing the doors. What does this sequence of activities represent?",,Activity attributes,Discretionary dependencies,Activity list,Mandatory dependencies,B,"Use of the four attributes within the dependency determination and integration tool or technique helps define the logical sequencing of the work to be performed as efficiently as possible as a discretionary dependency. The process established is not mandatory, meaning not based on legal or contractual requirements or any requirement unique to the appliance assembly itself, and as such, the process could be re-ordered. However, using the sequencing order known to be the best practice in the industry reduces the overall project risk."
13,"As a result of the customer inspection, the project manager realizes that some of the components of the project management plan, such as the cost baseline, schedule baseline, and procurement management plan, should be updated. What should the project manager do next?",,Conduct a procurement audit,Update the components as necessary,Submit a change request,Begin the Close Project or Phase process,C,"The scenario describes a project where a customer has conducted an inspection which resulted in a need to update some of the components of the project management plan. An inspection is one of the tools and techniques of the Control Procurements process. This process can result in change requests as one of its outputs. Changes can be requested to update the project management plan, its subsidiary plans, and other components such as the cost baseline, schedule baseline, and procurement management plan. Therefore, of the choices provided, under the circumstances described in the scenario, submitting a change request is the best answer to the question asked."
14,"The deliverables of a two-year-long project have just been accepted. It is four months late, but the customer is pleased to have it. The project manager is glad to be done with the deliverables but is concerned about the cost and schedule overruns. He decides to re-run the initial cost-benefit analysis using the actual project costs. Where should the project manager obtain the initial cost-benefit analysis?",,From the customer,The project charter,The business case,The benefits management plan,C,"A business case contains a documented economic feasibility study used to establish the validity of the benefits of a selected component lacking sufficient definition and that is used as a basis for the authorization of further project management activities. The business case has the complete cost-benefit analysis for the project. It can provide the project manager with all the initial information used to justify the project, allowing the project manager can re-run the cost-benefit analysis substituting actual costs for the analysis."
15,You conduct a variance analysis on the project you manage and determine that additional work is needed to complete the deliverables. You evaluate the impact and find that the additional work will create a two-day delay. You meet with the stakeholders to inform them about the delay. What other action should you take?,,Request additional funds,No additional action is needed.,Submit a change request,Review statement of work,C,"The scope baseline is the approved version of a scope statement, work breakdown structure, and the WBS dictionary. The scope baseline defines all the work required to be performed on the project. The schedule baseline is the approved version of a schedule model. When additional work is required to complete the project deliverables, the work should be documented in the scope baseline. When the additional work causes the project schedule to be delayed, this delay should be reflected in the schedule baseline. An update of both the scope baseline and the schedule baseline would require an action; specifically, a change request submission through the Perform Integrated Change Control process. Therefore, just informing the stakeholders that the project will be delayed would not be enough. A change request should be submitted."
16,"A lead engineer on a construction project expresses concern about conducting the electrical and plumbing work in parallel. Even though performing both activities in parallel has been done before, the engineer requests that the electrical work start after finishing the plumbing work in order to reduce overall project risk and adhere to generally accepted best practices. When developing the project schedule, how should the project manager define the relationship between the electrical and plumbing work?",,Mandatory internal dependency,Discretionary internal dependency,Mandatory external dependency,Discretionary external dependency,B,"Mandatory dependencies are those that are legally or contractually required or inherent in the nature of the work. That is not the case in this scenario. Although the engineer did 'request' that the work be done in a certain way, which gives the impression of this being a mandatory dependency from the project manager’s perspective, the logical relationship between the two activities is still rooted in preferential logic. The engineer prefers the work be done in a certain way for various reasons, but there are other acceptable sequences. And since the decision on how to sequence the electrical and plumbing activities is within the team’s control, rather than dependent on something outside the work they are doing, this is considered an internal dependency rather than an external dependency. Therefore, of the choices given, discretionary internal dependency is how the project manager should define the relationship between the electrical and plumbing work."
17,"You have just concluded the project kick-off meeting for a real estate development project. After the meeting, you follow the stakeholder engagement plan by sending a survey out to all of the meeting participants to obtain their feedback on the effectiveness of the meeting as well as any suggestions they might have for future meetings. After receiving the survey responses and summarizing them, what should you do next?",,Update the lessons learned register,Transfer any knowledge gained to the lessons learned repository,Record the information in the issue log for follow up,Submit a change request to update the stakeholder engagement plan,A,"The question implies that the Manage Stakeholder Engagement process is being carried out by following the stakeholder engagement plan. The lessons learned register is a project document used to record knowledge gained during a project so that it can be used in the current project and entered into the lessons learned repository at the end of the project. The feedback from the meeting participants represents lessons learned, or knowledge gained, that can be used to improve future meetings and should be documented in the lessons learned register. Note that depending on the type of feedback received, in addition to the lessons learned register, the issue log and the stakeholder engagement plan 'may' need to be updated as an output of the Manage Stakeholder Engagement process. However, the lessons learned register 'should' be updated with the feedback provided by the participants. When faced with more than one potentially correct response, the PMP aspirant should select the 'best' answer to the question asked. The answer choice that represents an activity that 'should' be performed is a better response compared with an activity that 'might' be performed. In this case, the lesson learned register 'should' be updated regardless of the content of the feedback. For example, if all of the feedback is supportive of how the meeting was run, that information would only be captured in the lessons learned register. However, if some of the stakeholders raised concerns, these concerns may be considered issues that should be captured in the issue log. And if a resolution of these issues requires an update to the stakeholder engagement plan, then the plan should be updated as well (with an approved change request)."
18,"A project manager is working with his project team to develop a network diagram. During this process, the project team determines that the nature of work dictates that the design work must be completed before manufacturing can start. The project manager proposes a few alternatives but ultimately realizes that the team approach to sequence the two activities is the only way to go. What type of dependency does this scenario represent?",,Discretionary internal dependency,Mandatory external dependency,Discretionary external dependency,Mandatory internal dependency,D,"The question states that the project team has determined that the nature of the work requires that design must be completed before manufacturing can start - an example of a mandatory dependency. Mandatory dependencies are those that are legally or contractually required or inherent in the nature of the work. And since this determination has been done by the project team, the dependency is internal. Internal dependencies are typically inside the project team's control. Thus, of the choices given, a mandatory internal dependency is what described by the scenario and is, therefore, the best answer to the question asked."
19,"A vendor is using hexavalent chrome instead of the more environmentally friendly trivalent chrome. You check the contract terms, and there is no stipulation requiring trivalent chrome despite your company policy prohibiting the use of hexavalent chrome. What was the most likely cause of this issue?",,The requirements documentation was either incomplete or not incorporated into the,The quality reports failed to capture the problem,Information from the requirements traceability matrix was not included in the contract,A resource calendar was not created in the planning process,A,"Requirements documentation includes health, safety, and environmental requirements among others. The company’s policy prohibiting the use of hexavalent chrome should have been captured in the requirements documentation. Therefore, the requirements documentation was either incomplete or not incorporated into the contract terms, which was the most likely cause of the issue identified in the question."
20,"Two qualified vendors have been identified for a project. The requesting organization is capable of performing the work, but it was deemed less cost-effective to do so. During vendor selection, the project manager learns that one vendor already works with a competitor and are restricted by an exclusivity clause. The other vendor is not available during the required timeframe. What might the project manager have done differently to avoid this situation?",,Included the evaluation method in the procurement documents,Obtained an independent cost estimate,Tailored the way the procurement processes were applied,Conducted a make-or-buy analysis,C,"The question implies that the Conduct Procurements was being performed when it came to light that there were no available vendors capable of performing the required work. Even though the source selection criteria are not determined until project planning is performed, the basic requirements of the project and timeline should be understood during project initiation. Because each project is unique, the project manager should tailor the way that Project Procurement Management processes are applied. Tailoring considerations include, among others, the availability of contractors. Had the project manager considered the availability of contractors before completing the procurement management plan, time and effort could have been directed towards planning to perform the required work internally, which even if it costs more than outsourcing, in the absence of available vendors, is the only viable option to completing the project on time."
21,You are estimating the costs for a project where the project team will be supplemented with independent contractors. You need to know the number of internal and external team members assigned to the project along with the timelines for their deployment. Where is the best place to find this information?,,Basis of estimates,Resource requirements,Project schedule,Cost forecasts,C,"The question indicates that the Estimate Costs process is being performed. One of the inputs to the Estimate Costs process is the project schedule. The project schedule includes the type, quantity, and amount of time that the team and physical resources will be active on the project. Therefore, the project schedule is the best source of information to find a timeline for the deployment of the team members on the project."
22,"You are leading an agile project to develop a computer game, which will be broken down into four releases. After the first release, the initial online reviews are poor, and the early adopters have provided detailed feedback about what they don't like about the game. You are concerned about the impact of the poor reviews on future releases. What is the best course of action?",,Hold a release retrospective,Terminate the project,Discuss the issue with the project sponsor,Expedite the delivery of the second release,A,"Early adopters are project stakeholders. Stakeholders should be kept engaged throughout the project life cycle. The question implies the project manager is performing the Monitor Stakeholder Engagement process. Meetings are among the tools and techniques used in this process. Types of meetings include status meetings, standup meetings, retrospectives, and any other meetings as agreed upon in the stakeholder engagement plan to monitor and assess stakeholder engagement levels. A retrospective is a scheduled review to record lessons learned. The project manager should hold a release retrospective to analyze the feedback that has been provided by the early adopters and take necessary actions to improve the product (the computer game) in the upcoming releases. The knowledge gained should then be captured in the lessons learned register and used in the current project as well as entered into the lessons learned repository for use in future projects. Therefore, of the available options, the best course of action for the project manager is to hold a retrospective to analyze the feedback that has been provided and incorporate the knowledge gained into future releases. Note, the fact the scenario describes an agile project does not change the correct answer. Holding retrospectives (or lessons learned meetings) is a good practice that can be adopted by any project regardless of the project management methodology used."
23,"You are developing an inventory tracking software system for a retailer to scan barcodes of their products using traditional barcode scanners. During the first sprint review, the customer requested additional functionality to use tablets for the scanning of barcodes. The change request has been submitted. If the change request is approved, which of the following must be updated?",,The cost baseline,The schedule baseline,The scope baseline,The scope management plan,C,"The scope baseline is the approved version of a scope statement, work breakdown structure (WBS), and its associated WBS dictionary. In this scenario, the added functionality represents an expansion of the project scope. Thus, once the change request is approved to include the additional feature, the scope baseline must be updated to reflect the increase in project scope. The incorrect answer choices represent baselines or a component of the project management plan that may or may not be updated as the result of the increase in project scope. While all of the answer choices represent items that 'might' be updated, only the scope baseline 'must' be updated in this scenario. Therefore, of the available options, revising the scope baseline to include the added functionality is the best answer to the question asked. Note, the scenario mentions sprint review, implying the product is developed incrementally, using agile methodologies. However, the change has been processed via a change request. Therefore, it can be concluded that the project management approach is hybrid."
24,"Project initiation is complete, and the project manager is about to begin project planning. The company has completed similar projects in the past, but the project manager was not involved with those projects. The project manager has reviewed the project charter to gain a high-level understanding of the project as a starting point for project planning. What should the project manager do next?",,Consult with a project manager who managed similar past projects,Prepare for project planning by performing the Manage Project Knowledge process,Review the lessons learned register,Search the organizational process assets for information on similar projects completed,D,"The lessons learned repository is an organizational process asset that serves as a store of historical information about lessons learned from projects. The question indicates that the company has completed similar projects in the past, but the project manager of the current project was not involved in those projects. Therefore, of the choices provided, the next logical step for the project manager to take is to search the organizational process assets for relevant information contained in the lessons learned repository as this information may prove helpful in planning the current project."
25,"You meet with the project sponsor to discuss the sponsor's idea which triggered the project. Even though the concept for the project is new and untested, the sponsor believes that the company's development team is prepared to execute her vision. You start documenting the reasons the sponsor thinks the company is capable to deliver this untested concept. Which project document is being created?",,Communications management plan,Assumption log,Requirements documentation,Lessons learned register,B,"There are a couple of ways you can determine the correct answer in this scenario. In one method, you would need to understand that the project management activities described in this scenario are part of the Initiating Process Group, and that the assumption log is the only project document of the four answer choices that is an output of a process in the Initiating Process Group, making the assumption log the only viable answer. The second method relies on knowing the meaning of an assumption. An assumption is a factor in the planning process that is considered to be true, real, or certain, without proof or demonstration. The assumption in this scenario is the sponsor's belief that the development team has the capabilities to deliver an untested concept. Documenting this assumption implies that the assumption log is being created, making the assumption log the best answer to the question asked."
26,The project you are leading is behind schedule. A team member suggests a change that may help bring the project back on track. You agree with the team member and issue a request for corrective action. This request would be an outcome of which of the following processes?,,Develop Project Management Plan,Develop Project Charter,Perform Integrated Change Control,Monitor and Control Project Work,D,"The scenario describes a project that falls behind schedule. Such a determination could have been a result of comparing the actual project performance with the schedule baseline. Reviewing the differences between planned and actual project performance is known as variance analysis. Variance analysis is one of the tools and techniques of the Monitor and Control Project Work process. When issues are found during the Monitor and Control Project Work process, change requests are submitted to rectify the problem. Therefore, in this scenario, submitting a change request has occurred in the Monitor and Control Project Work process. In other words, corrective action is an outcome of the Monitor and Control Project Work process."
27,A project with a tight budget to update an inventory control system is underway. A key stakeholder submits a request to replace all barcode scanners. The request is rejected by the CCB. The stakeholder contacts the project manager and insists that replacing all the scanners is necessary as some of the existing units are broken. The project manager is concerned that the stakeholder may become resistant to the project if the issue is not addressed promptly. What is the best course of action?,,Offering to assist the stakeholder by submitting a change request to replace only the,Explaining that the project budget does not include funds for the replacement of the,Referring the stakeholder to the project sponsor since the issue is beyond the authority of,Promising the key stakeholder that the replacement of the scanners will be included in the,A,"The question suggests that the project manager is performing the Manage Stakeholder Engagement process and needs to resolve an issue for a stakeholder to retain their support. Negotiation is one of the tools and techniques which may be useful during the Manage Stakeholder Engagement process. It is best to negotiate a reasonable solution to the problem described in the question to retain the stakeholder's support for the project. Since the change request to replace all of the barcode scanners was denied, there is no point in resubmitting the same request. However, just replacing the broken scanners seems like a reasonable solution that might be best for the stakeholder and the project. The change control board (CCB) might approve replacing the broken scanners even if they denied replacing all of the scanners previously. Therefore, of the available choices, the best course of action is to offer to assist the stakeholder by submitting a change request to replace only the broken scanners. Note that the concern raised by the key stakeholder should be captured in the issue log as well. However, updating the issue log was not listed as an answer choice. On the real exam, the PMP aspirant will likely encounter situations where the obvious answer is not listed as an option, and the 'best' answer must be selected from the available choices."
28,"During project execution, significant volumes of work performance data are being generated. The project manager wishes to select some of this data to be reviewed and analyzed in the controlling processes to assess project performance. Which of the following examples of work performance data is the project manager most likely to select for such an analysis?",,The number of the project team members,Story points completed,Estimated activity durations,Planned costs,B,"To answer this question properly, one needs to understand what is considered work performance data. Work performance data are the raw observations and measurements identified during activities being performed to carry out the project work. This data is generated during project execution and feeds or flows into various controlling processes. The controlling processes compare the work performance data with the established project baselines to assess project performance. Information available or developed during project planning is not considered work performance data. Examples of work performance data include work completed, key performance indicators, technical performance measures, actual start and finish dates of schedule activities, story points completed, deliverables status, etc. Of the choices provided, only story points completed qualifies as work performance data."
29,Your new project is very similar to others conducted within your company. You want to review comparable project quality standards to measure quality performance in your new project. Which tool or technique is best for you to use?,,Benchmarking,Brainstorming,Cost-benefit analysis,Analogous estimating,A,"When planning your project’s quality, you can benchmark your project against those of other projects. This technique relies on the similarity of your current and historical projects and/or project deliverables to have a meaningful comparison. In finding comparable project standards and measurements, your project has a point of comparison, which can aid in setting targets to aim or associate with, if seeking to meet or surpass another project’s standard."
30,"You are in the process of obtaining the necessary facilities, equipment, and materials for a cargo ship renovation project. You have just learned that the drydock where you must do the renovation is not available due to delays with an existing ship construction project. With the schedule baseline now unattainable, what is your best course of action?",,Utilize the contingency reserves to meet the project deadline,Submit a change request to update the schedule baseline,Update the schedule baseline as needed,Terminate the project since the schedule baseline has been invalidated,B,"The question indicates that during the Acquire Resources process, a key resource is not available and the resulting delay has made the schedule baseline unattainable. Since the schedule baseline has been invalidated due to the unavailability of the drydock, an approved change request is required to update the schedule baseline. If the change request is denied, then the result of that decision may lead to the termination of the project. If the change request is approved, then the project can proceed with the updated schedule baseline. Therefore, the best course of action in this scenario is to submit a change request to update the schedule baseline."
31,A project sponsor asks the project manager how well the project is doing in terms of budget. The project manager reviews work performance data and informs the sponsor that the project is doing well. What is wrong with the project manager's approach?,,Nothing is wrong with the project manager's approach.,The project manager should have reviewed work performance information.,The project manager should have reviewed the cost baseline.,The project manager should have consulted the accounting department.,B,"To determine how well the project is doing in terms of budget, the project manager should have reviewed the work performance information rather than work performance data. Work performance data by itself should not be used in the decision-making process as it has only out-of-context meaning. Work performance information, on the other hand, is correlated and contextualized, and provides a foundation for project decisions. As an example, the project manager could have compared the actual project performance, such as funds spent, to the cost baseline. Such comparison could have provided the project manager with the cost variance, cost performance indicator, estimate to complete, which would have allowed the project manager to determine project's health and report back to the project sponsor."
32,You work with your team to develop the change management plan for your project. Your company policy requires the appointment of a change control board (CCB) for all projects. Which of the following would you not include as an element of the plan?,,Information about how seller-created changes will be processed,The roles and responsibilities of the change control board (CCB),The description of how change requests are managed,A log to record the disposition of changes requested on the project,D,"The change management plan is a component of the project management plan that establishes the change control board, documents the extent of its authority, and describes how the change control system will be implemented. The question is asking which of the answer choices would 'not' be included as an element of the change management plan. The disposition of all change requests is recorded in the change log as a project document update. Project documents updates are an output of the Perform Integrated Change Control process. The change log is not a part of the change management plan."
