No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
11,"At a planning meeting with the stakeholders, an executive requested to see a top-down representation of all types of uncertainty for the project. Which of the following should the project manager use to categorize sources of project uncertainties to address the executive's request?",,Bar chart,Risk audit,Work breakdown structure (WBS),Risk breakdown structure (RBS),D,"The risk breakdown structure (RBS) is a hierarchical chart of possible sources of uncertainties, i.e., risks. The RBS is used to categorize the sources of project risks. The RBS is the de facto standard for grouping project risk sources. It helps management consider all the possible risks for a project and is what the document the executive in this scenario seeks. Per David Hillson (a.k.a., the risk doctor), ""In the same way a work breakdown structure (WBS) presents project work in hierarchical, manageable and definable packages to provide a basis for project planning, communication, reporting and accountability, risk data can be organized and structured to provide a standard presentation of project risks that facilitates understanding, communication, and management."""
12,"While creating the project charter, you review the business case and learn that, unlike previous projects, this project will source non-sustainable wood for the product, which substantially reduces project cost. Your company has had some financial difficulties lately, but you know it has high environmental standards and always marketed and prided itself on producing goods that are 'green'. What is your best course of action?",,Update the business case to specify sustainable wood to be used in the project,Continue to create the project charter according to the business case,Hold on the development of the project charter and ask the sponsor for advice,Specify in the project charter the use of a sustainable wood source,C,"One of the project manager's responsibilities is providing recommendations and oversight to keep the project business case, project management plan, project charter, and project benefits management plan success measures in alignment with one another and with the goals and objectives of the organization. In this scenario, the company image for producing 'green' goods would be compromised if the non- sustainable wood was used in the product. Therefore, in order to uphold the company image, it is your job as a project manager to understand why the non-sustainable wood was prescribed for use in the business case. In the vast majority of our questions, consulting with the project sponsor is typically an incorrect answer. But not in this case. By contacting the sponsor and explaining your discovery to her, you can hopefully rectify the situation, making this the best answer to the question asked."
13,"A_scheduling error occurred on a construction project that you are managing. The painting contractors arrived as scheduled, but the drywall was not yet finished. As the project manager, you want to know who was responsible for scheduling the contractors and who should be held accountable. What tool or technique is most helpful in this situation?",,Project organization charts,Resource management plan,Hierarchical charts,Responsibility assignment matrix,D,"A RACI chart is a common type of responsibility assignment matrix (RAM) that uses responsible, accountable, consult, and inform statuses to define the involvement of stakeholders in project activities. A RACI chart is developed during the Plan Resource Management process, and it is the best tool to identify the responsible party for a project activity as well who is accountable. The resource management plan may contain project roles and responsibilities as well as the RAM. However, the question specifically asks for a tool or technique, and the resource management plan is a component of the project management plan and not a tool or technique. Therefore, the resource management plan can be eliminated as a correct response, making the assignment matrix the best answer to the question asked. It is important to read the question carefully especially when there are two potentially correct answers."
14,"Midway into the project execution, one of the project team members approaches the project manager with concerns that the quality of the project deliverables is low. How should this concern be verified?",,Issue a risk report,Decompose the project deliverables,Conduct a walkthrough,Submit a change request,C,"Inspection (sometimes called a walkthrough) is among the tools and techniques that can be used on projects to measure and examine the work deliverables to determine whether they conform to documented standards. Inspection can be used while carrying out the Validate Scope process or the Control Quality process. In the scenario described, the team member expressed their concern regarding the quality of the deliverables. Therefore, to verify the concern, it is appropriate to conduct a walkthrough as part of the Control Quality process."
15,You have been hired to replace the previous project manager. You are reviewing the project charter to get a sense of the project as well as to help you start developing the project management plan. Which of the following would you not find in the project charter?,,Project objectives and their success criteria,Project exit criteria,Scope baseline,Overall project risk,C,"The project charter formally authorizes the existence of a project and documents high-level information on the project and the product the project will produce. Project exit criteria, overall project risk, and measurable project objectives and their success criteria are all included in the project charter. The charter is developed during project initiation, while the scope baseline is developed during planning, as an output of the Create WBS process. To be developed, the project scope baseline needs the information contained in the project management plan, which, in turn, requires the project charter as one of its inputs. Therefore, it is highly unlikely that you will find the scope baseline included in the project charter. Since the question asks which answer choice represents an item that is 'not' included in the project charter, scope baseline is the correct answer."
16,"A_project manager is in the process of obtaining the necessary equipment, materials, and supplies for a prototype development project. The project will require the use of the performing organization's industrial 3D printer, and the project manager has just learned that it is currently committed to another project for the next three days. What should the project manager do first?",,Negotiate with the other project manager to have exclusive access to the printer,Submit a change request to update the schedule baseline,Purchase another 3D printer to avoid any potential scheduling conflicts,Document the printer's availability in the resource calendar,D,"The question implies that the Acquire Resources process is being performed and describes a newly identified resource availability constraint which may or may not affect the project schedule. One of the outputs of the Acquire Resources process is the resource calendar. A resource calendar identifies the working days, shifts, start and end of normal business hours, weekends, and public holidays when each specific resource is available. Resource calendars also specify when and for how long identified team and physical resources will be available during the project. The incorrect answer choices represent actions that are not warranted at this point and may not even be necessary. Therefore, of the available choices, documenting the printer's availability in the resource calendar is the best answer to the question asked."
17,"A_change request has been approved to add scope to a project. The change allows the project to be completed a month later with a budget increase of $10,000. What should the project manager do next?",,Add resources to bring the schedule back on track,Use management reserves to cover the cost of the change,Update the requirements management plan,Communicate the change to the relevant stakeholders,D,"As a project manager, you have the responsibility to ensure that all change requests are reviewed and analyzed using the Perform Integrated Change Control process established for the project. As part of this process, the decisions made on the change requests should be communicated to the request owner or group. In the scenario, the decision has been made (the change request has been approved); therefore, the decision should be communicated to the relevant stakeholders. Typically, the decisions are communicated in accordance with the guidelines specified in the project's communications management plan which establishes how, when, and by whom information about the project will be administered and disseminated."
18,"You are the project manager for a year-long warehouse construction project in a large open field outside of a rural town. Four weeks into the project it was discovered that at night, during non-working hours, animals from the surrounding woods were scavenging material from the worksite. This issue was not accounted for in planning. What would you do once you learned of the animal breach?",,Do nothing as the risk has not been identified and therefore should be accepted.,Organize the team in three shifts to scare the animals away while working.,Visit the worksite and assess the extent of the damage from the animal breach.,Bring a security company to protect the site from the animals during non-working hours.,C,"If possible, you should not make any impulsive decisions, but gather all the facts about a situation before acting. Visiting the worksite and seeing firsthand the extent of the damage and the type of damage will help determine the best course of action. Referencing the risk management plan is an incorrect answer choice because it explains the approach that the project will take in respect to risk and ensures it is appropriate for the project. You need all the information about the risk before consulting the risk management plan. The other options are impulsive reactions and, therefore, not correct answer choices."
19,"You gather your project team to examine and document the effectiveness of the implemented risk responses in dealing with the realized risks. As the discussion progresses, it becomes evident that several issues have arisen as the result of the risks that have occurred. Which of the following best describes the activity in which you and your team are involved?",,Risk review meeting,Perform Qualitative Risk Analysis,Identify Risks,Risk audit,A,"The scenario describes a situation in which several project risks have been realized. As a result, other issues (not necessarily risks) may arise. These issues need to be recorded in the issue log to ensure they are investigated and resolved. These new issues are typically identified in risk review meetings in the aftermath of risk response implementation. Risk review meetings are among the tools and techniques that can be used during the Monitor Risks process which is the process that you are carrying out in the scenario described. Therefore, the risk review meeting best describes the activity in which you and your team are involved"
20,A_project manager has been requested to assist the sponsor with the development of the project charter. What would be the most appropriate next step for the project manager?,,Develop the project management plan,Assess external and internal influences that may impact project strategy,Wait for the project charter to be completed and approved,Conduct a business impact analysis,B,"It is the project manager's duty to understand any factors that may have a favorable or unfavorable effect on project implementation. The question is vague to whether it is the project sponsor or the project manager who eventually develops the project charter. The question states that the project manager has been requested to assist the project sponsor with the development of the project charter. Whatever the situation is, of the choices provided, it makes the most sense for the project manager to assess external and internal influences, or in other words, assess the impact of the enterprise environmental factors (EEFs) and organizational process assets (OPAs) on the project implementation making this choice the best answer to the question asked."
21,"During a status update meeting, you inform stakeholders that the project is running behind schedule but under budget. With all meeting participants in agreement, the decision is made to crash the schedule. Two weeks later, the finance director calls you stating that she just learned about the schedule issue and that she never agreed to the expense of adding project resources. When asked why she did not speak up during the meeting, the finance director replies, ""What meeting?"" Which of the following most likely caused this situation?",,Lack of cultural awareness,Poor conflict management skills,Inadequate meeting management,Insufficient active listening skills,C,"The scenario implies that the Manage Communications process is being carried out. Meeting management is among interpersonal and team skills that could be used as tools and techniques during that process. Meeting management involves taking steps to ensure meetings meet their intended objectives effectively and efficiently. Ensuring that the appropriate participants are invited and attend is one of the steps used in proper meeting planning and management. In this scenario, it seems that the finance director was either not invited to the meeting or was invited but did not attend. Therefore, of the available choices, inadequate meeting management was the most likely cause of the problem presented in the question."
22,"You diligently gather all the available information about the project and produce a draft of the project charter, which you submit to the sponsor for approval. The following day the sponsor calls you and states that the charter is missing an essential element. What did you most likely neglect to include?",,The scope baseline for the project,The project schedule,A detailed project description including boundaries and all deliverables,The business needs to be satisfied with the execution of the project,D,"The business needs to be satisfied with the execution of the project are a significant component of the project charter and should always be included. Although each of the other answer choices is important to the successful completion of the project, none are available to be included in the project charter during the Initiating phase of a project."
23,"The first phase of a four-phase project has just been completed, and the project manager is ready to start the second phase. The project manager realizes that the second phase will involve additional stakeholders. What should the project manager do next?",,"Issue the final status report that covers the phase, which has just been completed",Submit a change request to update the stakeholder engagement plan,Hold a bidder conference and select vendors that meet source selection criteria,Calculate the estimate to complete the work that remained on the project,B,"The stakeholder engagement plan is regularly updated to reflect changes within the stakeholder community. The start of a new project phase is a typical trigger to develop new plans or update existing ones. The scenario indicates that additional stakeholders will be part of the second phase of the project. Therefore, the stakeholder register and the engagement plan will have to be updated. A change request is needed to update any component of the project management plan, such as the stakeholder engagement plan. While there are many actions and steps involved when a new phase of a project begins, of the choices available, submitting a change request to update the stakeholder engagement plan is the only logical step to take in this situation and is, therefore, the best answer to the question asked."
24,A_system delivered by a vendor on your project does not perform as specified. Your boss has instructed the procurement department to withhold the payment. The vendor has filed a claim for non-payment. What should you do first?,,Attempt to negotiate a resolution with the vendor,Do nothing as the system is not fit for use,Resort to alternative dispute resolution (ADR),Contact the legal department to file suit for damages,A,"The contract will outline the rights of both parties in the event of a dispute, and those provisions bind each side in the agreement. However, the terms of the contract are not known from the description provided by the question. Regardless of the specific contract terms, it is always best to attempt to negotiate a settlement first. If the direct negotiation fails, alternative dispute resolution (ADR) would be the next step. Only if the ADR is not successful, litigation in courts may be necessary as a last resort. Therefore, under the circumstances described in the question, the project manager should try to negotiate a resolution with the vendor first."
25,A_project manager is creating a draft of the project charter. He is currently identifying the key deliverables based on the business requirements. What purpose does the identification of the key deliverables serve?,,Managing customer expectations and directing the achievement of project goals,Supporting the evaluation of the feasibility of new projects or services,Proposing an implementation strategy,Aligning expectations and gaining support for the project,A,"The Project Management Professional (PMP)® Examination Content Outline contains a list of tasks for each domain, with which PMP aspirants are expected to be familiar. The correct answer is represented by task #2 of the initiating domain which states, ""Identify key deliverables based on the business requirements in order to manage customer expectations and direct the achievement of project goals."" The incorrect answer choices are represented by other tasks of the initiating domain."
26,"A_project has gone smoothly except for the process of managing stakeholder needs and expectations. Specifically, the project manager has had to cope with an inordinate number of change requests throughout project execution which has caused delays and confusion among some stakeholders. What is the most likely cause of this situation?",,An incomplete stakeholder register,Poorly-developed quality metrics,Inexperienced project team members,Insufficient funding requirements,A,"The question suggests that the project manager has experienced problems as part of the Manage Stakeholder Engagement process, and the stakeholder register is one of the inputs to this process. An incomplete stakeholder register may mean, for example, that some stakeholders were missed during the Identify Stakeholders process. The stakeholders that are not included in the stakeholder register could not have had their needs and expectations taken into account during project planning. This situation would likely result in excessive submissions of change requests in order to incorporate the needs and expectations of the stakeholders that were missed."
27,"A_project manager discovers that due to schedule conflicts, some key stakeholders have not been attending a weekly conference call where important decisions are made. To address the issue, the project manager proposes to establish alternative communication methods. Which of the following will likely be updated as a result of this proposal?",,Quality management plan,Communications management plan,Work breakdown structure,Stakeholder engagement assessment matrix,B,"The question implies that the Monitor Communications process is being performed and that a communication problem was identified. Updates to various components of the project management plan are an output of the Monitor Communications process. The communications management plan, a component of the project management plan, can be updated with new information to make communication more effective. By establishing alternative communication methods, the project manager is aiming to make communication on the project more effective. Therefore, of the choices provided, updating the communications management plan is the best answer to the question asked."
28,"A_project manager wants to take advantage of the corporate project management information system (PMIS) to ensure that stakeholders can easily retrieve the non-sensitive and non-confidential information. Following the communications management plan, the project manager needs to provide the stakeholders with the opportunity to form online communities. What is the best course of action for the project manager to achieve this goal?",,Reserve a meeting room where stakeholders can socialize,Invite stakeholders to attend daily standup meetings,"Utilize audio and video conferencing, email, fax, and voicemail",Use social media communication management tools,D,"The question implies that the project manager is carrying out the Manage Communications process. Project management information systems (PMIS) is one of the tools and techniques that may be used in the Manage Communications process. PMIS can ensure that stakeholders can easily retrieve the information they need in a timely way. Project information is managed and distributed using a variety of tools including electronic project management tools, electronic communications management, and social media management. Social media are websites and applications that provide the opportunity to share information through virtual communities and networks. Social media management is a PMIS tool which offers the opportunity to engage with stakeholders and form online communities. Therefore, of the choices given, using social media management is the best answer to the question asked."
29,"A_company has authorized a dedicated change control board (CCB) to review and evaluate all change requests that are submitted for any project. If the project sponsor is a member of the CCB, which of the following best describes an individual or group that can request a change on a project?",,Project manager,Project sponsor,Project team,Any stakeholder,D,"Changes may be requested by any stakeholder involved with the project and may occur at any time throughout the project life cycle. The project manager, the project sponsor, and the project team are all project stakeholders and therefore, can request changes. All of the answer choices are technically correct, but the option of 'any stakeholder' provides a complete answer and is, therefore, the best answer to the question. Additionally, the fact that the company authorizes a change control board (CCB) and the project sponsor is its member is irrelevant to the question asked. It is essential to discern the relevant information of a question to select the best answer of the choices given."
30,"Midway through your project, you are informed by a member of the project staff of a growing problem with two primary team members. After learning of verbal encounters and the negative effect on the team, you decide immediate action is needed. You meet privately with the two team members involved and collaboratively agree on steps to eliminate the conflict. Follow-up meetings are scheduled to discuss the ongoing progress. Based on the information provided, which of the listed actions should you take next?",,Update the schedule baseline,Update organizational process assets,Update the issue log,Update the enterprise environmental factors,C,The purpose of the issue log is to record and track issues that surface during the project lifecycle. This document is first created as an output of the Direct and Manage Project Work process and is then used as input in many project processes and updated as a result of the monitoring and control activities throughout the life of the project.
31,You are the project manager reviewing the results of a quality report prepared by a team external to the project. The quality report indicates settings on a piece of equipment that are not configured to the exact specifications outlined in the quality management plan. What should you do immediately?,,Speak with the team member who programmed the settings,Record the issue in the issue log,Review the quality management plan,Conduct a process analysis,B,"The question implies you are carrying out the Manage Quality process. The quality report, an output of the Manage Quality process, includes information that can be used to take corrective actions in order to achieve the project quality objectives. The quality report can be a result of an audit, a structured, independent process used to determine if project activities comply with organizational and project policies, processes, and procedures and identify nonconformity, gaps, and shortcomings in the project. In the scenario described, the wrong settings identified in the quality report is a nonconformity issue that should immediately be recorded in the issue log. An issue is a current condition or situation that may have an impact on the project objectives. Capturing the issue in the issue log will ensure the issue is monitored and, if needed, resolved."
32,A_project team has just finished development and is planning to have the customer and the sponsor inspect the system's user interface for acceptance. Which project management process facilitates this activity?,,Validate Scope,Control Scope,Manage Quality,Perform Quality Control,A,Validate Scope is the process of formalizing acceptance of the completed project deliverables. Validating scope includes reviewing deliverables with the customer or sponsor to ensure that they are completed satisfactorily and obtaining formal acceptance of deliverables by the customer or sponsor.
33,"You are planning a research and development project, and you need to determine how the project costs will be estimated, budgeted, managed, monitored, and controlled. To complete this process, you need to know if there are any preapproved financial resources from which the detailed project costs can be developed. What should you do next?",,Review the project charter,Consult the cost management plan,Examine the basis of estimates for the project,Check the cost baseline,A,"The question suggests that the Plan Cost Management process is being performed, which is the process of defining how the project costs will be estimated, budgeted, managed, monitored, and controlled. The project charter provides the preapproved financial resources from which the detailed project costs are developed. The project charter also defines the project approval requirements that will influence the management of the project costs. Therefore, you should review the project charter to see if there are any preapproved financial resources from which the detailed project costs can be developed."
34,"During project execution, someone approaches the project manager and informs them that there is a significant risk to the project. While discussing the risk, the project manager realizes that the person is a project stakeholder that has been inadvertently missed during project initiation. What should the project manager do first?",,"Introduce the stakeholder to the project sponsor and the project team, and ask the team to mitigate","Add the risk to the risk register, evaluate the risk, and add the stakeholder to the stakeholder register",Do nothing; stakeholders that are not in the stakeholder register do not have the right to raise risks on,Perform an additional iteration of the Identify Stakeholders process and update the stakeholder,B,"This question crosses at least two project management knowledge areas: Project Risk Management and Project Stakeholder Management. The question also taps into the project manager's ability to assess the situation and make the best decision given the circumstances and the information available at that moment. A new stakeholder has been identified, and a new 'significant' risk has been brought to the attention of the project manager. What is the 'first' thing the project manager should do? Of the answer choices provided, adding the new risk to the risk register should be the 'first' thing the project manager does. Once the risk is recorded, the subsequent steps of risk analysis and risk response planning should take priority in order to determine the most appropriate actions to address this potential threat. After the threat to the project has been addressed the project manager can add the stakeholder to the stakeholder register and continue the steps of the Identify Stakeholder process such as stakeholder analysis."
35,A_project manager has been communicating with 10 stakeholders regularly. Last week 2 more stakeholders were identified and added to the communications management plan. What is the number of potential communication channels?,,66,78,55,12,B,"The number of potential communication channels or paths can indicate the complexity of a project's communications. The total number of potential communication channels can be calculated by n*(n-1) / 2, where n represents the number of stakeholders. After the addition of 2 additional stakeholders, the scenario indicates 12 stakeholders plus the project manager, for a total of 13 stakeholders. Therefore, n=13 and the number of communication channels is 13*(13-1) / 2 = 78. While the calculation of communication channels is not included in the PMBOK® Guide, Sixth Edition, the Project Management Professional (PMP)® Examination Content Outline, June 2015, covers knowledge and skills, with which PMP aspirants are expected to be familiar. Information used to define project communication requirements is one of these topics and may appear on the exam."
36,"A_project manager is executing the quality management plan of a project to manufacture a new reusable rocket to launch commercial satellites. Due to the extremely high cost of failure, the tolerances for the parts are held to a very exacting standard. The project manager has established a threshold of no more than 3.4 defects per million opportunities (DPMO). What is the best approach to accomplish this goal?",,Utilize the Three Sigma quality improvement technique,Use Six Sigma as a quality improvement methodology,Perform the Plan-do-check-act process,Design for X (DfX) is the most appropriate tool,B,"Manage Quality is the process of translating the quality management plan into executable quality activities that incorporate the organization's quality policies into the project. The question states, ""A_project manager is executing the quality management plan of a project..."" This implies that the Manage Quality process is underway. Six Sigma is a common quality improvement methodology that may be useful during the Manage Quality process. From the statistical point of view, the term Six Sigma is defined as having no more than 3.4 defects per million opportunities (DPMO) or a success rate of 99.9997%. Therefore, Six Sigma is the best answer to the question asked."
37,"You are leading a project to develop a software application. The application is being built incrementally using a scrum framework. Due to low stakeholder engagement, you submit a change request to update the stakeholder engagement plan with an invitation for key project stakeholders to participate in sprint planning and retrospectives. What tool or technique are you planning to use?",,Expert judgment,Meetings,Communication skills,Stakeholder register,B,"The question implies that the Manage Stakeholder Engagement process is being performed. Of the available choices, meetings, expert judgment, and communication skills are all tools and techniques associated with the Manage Stakeholder Engagement process. Sprint planning and retrospectives are types of meetings which are conducted when using the agile project management approaches known as Scrum. Therefore, you are planning on using meetings to enhance stakeholder engagement."
38,"You are managing a project with a budget of $20,000. You have spent $17,000 so far, and the project is 75% complete. You have performed a variance analysis and determined that the estimate at completion (EAC) will be $22,667. What is the efficiency that must be maintained in order to complete the project with the current EAC?",,1.667,1.353,0.882,1.133,C,"To answer the question correctly, it is important to interpret the last sentence of the question, ""What is the efficiency that must be maintained...?"" The efficiency that must be maintained is the to-complete- performance-index (TCPI). The TCPI is defined as a measure of the cost performance that is required to be achieved with the remaining resources in order to meet a specified management goal, expressed as the ratio of the cost to finish the outstanding work to the remaining budget. The management goal in the question is ""to complete the project with the current EAC"". The PMBOK® Guide specifies two scenarios to calculate the TCPI: • The efficiency that must be maintained to complete the project on plan, i.e., with the original budget at completion (BAC): TCPI = (BAC - EV) / (BAC - AC) • The efficiency that must be maintained in order to complete the project with the current estimate at completion (EAC): TCPI = (BAC - EV) / (EAC - AC) Since the question is asking about the efficiency that must be maintained to complete the project with the current estimate at completion (EAC), the EAC-based formula must be used. The BAC is the initial project budget, $20,000. The project's current earned value (EV) is $15,000, which is calculated by multiplying the actual percent complete, 75% (or 0.75) by the BAC, $20,000: EV = 0.75 * $20,000 = $15,000. The EAC has already been calculated by the project manager in the scenario as $22,667, and the actual cost (AC) is $17,000. Therefore: TCPI = (BAC - EV) / (EAC - AC) = ($20,000 - $15,000) / ($22,667 - $17,000) = $5,000 / $5,667 = 0.882"
