No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
11,"As the project manager in your company, you have contacted the Project Management Office requesting their help in reviewing the results of the latest round of tests on the project's product. They look through the tests and make note of how frequently the tests were carried out to determine whether the team completed the required number of tests and followed proper procedures defined in the quality management plan. What is being described here?",,The PMO is performing the Control Quality process,The PMO is using statistical sampling,The PMO is performing inspection,The PMO is performing a quality audit,D,"Quality audits are one of the tools and techniques used in the Manage Quality process. An audit is a structured, independent process used to determine if project activities comply with organizational and project policies, processes, and procedures. A quality audit is usually conducted by a team external to the project, such as the organization’s internal audit department, PMO, or by an auditor external to the organization. In this scenario, the PMO office is reviewing the product test results to verify that the project is in compliance with organizational policies, making quality audit the best answer."
12,"A_change request to repair a defect was submitted to the change control board (CCB) several days ago, but the project manager has not been informed of the decision. She wants to implement the change urgently to avoid schedule delays. What should the project manager do next?",,Check the change log,Review the issue log,Ask a member of the CCB,Implement the change,A,"The question indicates that the project manager needs to know the status of a change request before performing a defect repair. Approved change requests are implemented through the Direct and Manage Project Work process. The change log is the input to the Direct and Manage Project Work process which contains the status of all change requests. Of the available choices, the project manager should next check the change log to see if the change request was approved. Ideally, the question should have asked, ""What should the project manager do next to find the status of the change request?"" rather than just asking ""What should the project manager do next?"" The latter can be reasonably answered by at least three answer choices. However, the question is worded as it is. Prospective PMP aspirants should keep in mind that questions and answers on the real exam could be ambiguous. Therefore, it is recommended to make reasonable assumptions based on the available information provided in the question and, of the choices given, select the best answer to the question asked. In this question, the scenario states that the project manager wants to implement the approved changes as soon as possible to avoid any further delays in the project schedule. However, the project manager is not aware of the status of the change request. Therefore, it can be assumed that by asking ""What should the project manager do next?"" the question actually asks, ""What should the project manager do next to find the status of the change request?"""
13,"The contingency reserves in the project you are leading were initially set at $200,000. You perform an analysis every month to track the remaining reserve funds. After the first month, you determine that there is $190,000 of the original contingency reserves remaining. The second month shows $175,000, and the third month indicates $155,000. You now need to communicate this information to stakeholders in conformance with the communications management plan. What should you do next?",,Capture the data in a burndown chart,Use a tornado diagram to display the reserve information,Utilize a Gantt chart to share with stakeholders,Update the RACI chart with the remaining reserves,A,"The question describes reserve analysis, which is performed during the Monitor Risks process. A reserve burndown chart is a graphical representation of the reserves remaining over time. The reserve burndown chart is a common method of capturing reserve information for communication to stakeholders. Once the reserve data has been collected, the next logical step is to capture the information in a burndown chart to share with stakeholders."
14,"A_project charter has been approved, and the project manager has just completed the Identify Stakeholders process. Before project planning begins, what should the project manager do?",,Conduct stakeholder analysis,Hold a project kick-off meeting,Inform the key stakeholders of the approved project charter,Perform the Plan Stakeholder Engagement process,C,"Once the project charter has been approved, the project manager should inform the key stakeholders that the project has received authorization. Informing stakeholders of the approved project charter helps maintain their support and is a declaration that the project manager can begin to use company resources to plan and execute the project. Announcing the approval of the project charter ensures the stakeholders are aware of their role and responsibilities, the key deliverables, and important project milestones."
15,"During project planning, you review the stakeholder register with your project team to develop approaches for involving stakeholders in the project. You realize that one particular group of stakeholders may have a significant influence on the project and ask your team to start working with the group immediately. What is the most likely reason for your decision?",,Stakeholders must authorize and approve all changes in the project work.,Early involvement of the stakeholders may reduce the cost of changes.,Stakeholder approval authorizes the project manager to start project work.,Early involvement of the stakeholders may increase the cost of changes.,B,"The question implies that you are carrying out the Plan Stakeholder Engagement process. The stakeholder register is an input to this process. You have identified an important group of stakeholders who may have a significant influence on the project and its expected outcomes. You are attempting to lessen the possibility of change requests or errors later in the project by engaging the stakeholders as early as possible. Including their input and involving them in the decisions at the start of the project decreases the impact on cost and schedule changes as the project progresses. Engaging stakeholders, particularly those with significant influence on the project, early and often increases stakeholder satisfaction and the potential for project success."
16,"A_system must be completed by October 31st or a penalty of $1,000 per day may be imposed. The table below reflects the current status of the project. At this point in the project, the system analysis, system design, and system development should have been complete. The method used to determine the earned value is based on percent complete. What is the current cost performance index?",images\test_1\q_16.png,0.62,0.87,1.15,"-$6,000",B,"Cost performance index (CPI) is the earned value (EV) divided by the actual costs (AC). The current earned value is the sum of the earned values for every activity that has either been completed or is in progress. Thus, the earned value can be calculated by multiplying the activity's percent complete by the activity's planned value. The actual costs are the total costs of the individual activities. Note, since the scenario mentions that the method used to determine the earned value is based on percent complete, the earned value of a partially completed work package is calculated by multiplying the planned value of the work package by its the percent complete. The calculations are shown below: EV = EV of activity 1 + EV of activity 2 + EV of activity 3 = (1 x $5,000) + (1 x $10,000) + (.50 x $50,000) = $40,000 AC = AC of activity 1 + AC of activity 2 + AC of activity 3 = $6,000 + $10,000 + $30,000 = $46,000 CPI = EV / AC = $40,000 / $46,000 = 0.87 Therefore, the cost performance index (CPI) in this scenario is 0.87. Since the CPI is less than 1, the project is running over planned costs. Note that the information regarding the late penalty is not relevant to answer the question correctly. The actual PMP exam questions may contain superfluous information to disguise the correct answer."
17,"You are managing a big project. To direct, manage, monitor and control your project work more efficiently, you want the project key performance indicators to be gathered and reported automatically. What is the best tool to use for this purpose?",,Project management information system,Published estimating data,Communication technology,Performance reviews,A,"A project management information system is an enterprise environmental factor. The system can be used as a tool or technique of, or serve as an input to, many project management processes. The project management information system consists of the tools and techniques used to gather, integrate, and disseminate the outputs of project management processes. The system is used to support all aspects of the project from initiating through closing, for example providing access to tools such as a scheduling tool, a work authorization system, a configuration management system, an information collection and distribution system, or interface to other online automated systems. The project management information system can include both manual and automated systems. One of its capabilities is to automatically gather and report on key performance indicators which is what the question asks. Therefore, a project management information system is the best answer to the question."
18,"You are leading a project to replace an aging bridge spanning a river in a heavily populated area. The new bridge would include a pedestrian pathway, that is not a feature of the existing bridge. The bridge is well under construction when residents learn the pathway would allow strangers to enter their neighborhood at all times. The residents demand the elimination of the pathway. What would have been the best course of action to avoid this situation?",,Identify the pathway as a possible point of contention with stakeholders early in the project,Nothing could have been done differently because the project was authorized per the project,Engage a public relations company to handle community outreach once local residents voiced,Reroute the pathway entrance during construction to an old railway trail instead of the local,A,"The project team under the guidance of the project manager needs to be able to assess the project situation, balance the demands, and maintain proactive communications with stakeholders in order to deliver a successful project. In this case, a thorough assessment of the project's impact on all stakeholders early in the project life cycle may have identified the potential resistance of the local residents to the pathway. Identifying potential issues early allows the project team to proactively address the problems and implement strategies to resolve them to increase the prospect of project success."
19,"The client contends that the project's deliverables do not meet the agreed-upon specifications and have to be reworked. The client shows the meeting minutes to the project manager saying that the standard for the acceptance of the deliverables was discussed earlier in the project, during one of the status calls. What should the project manager do first?",,Check the project charter for the contract terms,Agree to rework the deliverables to meet the requirements as requested by the customer,Review the agreements for the acceptance criteria,Tell the customer to proceed with claims administration to resolve the issue,C,"The premise of the question is taken from the perspective of the seller, which is providing the deliverables to the buyer. The buyer conducted a procurement process and contracted with the seller to deliver the product and/or service. The contract contains the terms and conditions of the agreement including the agreed-upon acceptance criteria. The agreements serve as an input for the Collect Requirements process, and the acceptance criteria are then used during the inspection in the Validate Scope process to ensure that the contractual obligations have been met. The meeting minutes provided by the customer may very well contain some criteria for the deliverables, but the agreed-upon acceptance criteria are derived from the contract which is the mutually binding agreement. Of the available choices, the project manager should first check the agreements to understand the acceptance criteria."
20,Which of the following would be one of the last tasks for a project manager to perform as part of the administrative closure of a project?,,Obtaining formal acceptance of the project deliverables,Conducting earned value analysis,Evaluating stakeholder satisfaction with the project,Verifying the correctness of the deliverables,C,A project is considered a success when the project objectives have been achieved. One important objective established early in the project's planning is stakeholder satisfaction. Stakeholder satisfaction should be monitored throughout the project and finally used as a measure of project success at the end of the project. The question surrounds the administrative closure of a project implying the answer choice should be one of the activities carried out during the Close Project or Phase process. One of the last tasks of the project manager during this process is measuring stakeholder satisfaction for the project as a whole.
21,"You have just drafted a document which, at a high level, will ensure a common understanding by the stakeholders of key deliverables, milestones, and the roles and responsibilities of everyone involved in the project. Before you wrap up the current process, what should you do?",,Obtain approval of the document you have drafted,Conduct a project kick-off meeting,Obtain approval of the project management plan,Pre-assign key project team members,A,"The question suggests that you have just drafted the project charter, which is the main output of the Develop Project Charter process. The project charter is a document which, at a high-level, ensures a common understanding by the stakeholders of key deliverables, milestones, and the roles and responsibilities of everyone involved in the project. Although a project manager may assist with the development of the project charter, the charter must still be formally approved by an initiating entity such as a sponsor, project management office (PMO), or authorized representative. Therefore, before wrapping up the Develop Project Charter process, you should obtain approval of the project charter."
22,"The project charter for a project in the initiation stage provides an initial budget estimate of $1,000,000. The project will take four years to complete, and the revenues will be realized at the end of the project when the property is sold at the anticipated selling price of $1,100,000. You are of the opinion that the project should proceed since it is profitable, but the director of finance disagrees. What might have you done wrong?",,Neglected opportunity costs in the calculation,Did not account for project risk,Used nominal dollars instead of net present value (NPV),Failed to account for sunk costs,C,"The question indicates that costs will be incurred throughout the project, but the revenue will only be received at the end of the four-year-long project. The anticipated nominal selling price of $1,100,000 does not take into account the effect of inflation over the four-year period of the project. Using net present value (NPV) adjusts for inflation to get a more accurate assessment of the true value of future revenues. If the majority of the expense is incurred up front, then even a modest inflation rate of 3% could make the project unprofitable in terms of real value. Had you, as the project manager, used NPV in your calculation for net profit instead of nominal dollars, you would not have advocated for the project based on an anticipated profit of $100,000. The incorrect answer choices are all viable options for mistakes that may have been made, but there is no information from the description provided by the question to indicate such one way or another. Therefore, of the available choices, the only clear mistake that was made was the use of nominal dollars instead of NPV. While the topic of this question is just briefly mentioned in the PMBOK® Guide, the Project Management Professional (PMP)® Examination Content Outline, June 2015, covers knowledge and skills with which PMP aspirants are expected to be familiar. Project finance principles are among these knowledge and skills."
23,"You are managing a project with key stakeholders representing 15 different countries, and feedback from your video conferences has been negative. One of the stakeholders says you don't take the business seriously enough because you always open the discussion with a joke. One of the stakeholders says you speak too loudly and he feels like you are yelling. Another stakeholder says you are too serious because you only talk about the business. What part of planning communications was missed?",,Performing a communications requirement analysis,Planning for cultural diversity,Reviewing the stakeholder engagement plan,Performing a communication styles assessment,B,"As a project manager, you must be culturally aware and adapt your project's communication strategy to minimize misunderstandings, miscommunications, and conflict that may result from cultural differences. While the stakeholder engagement plan does address communications with stakeholders, the emphasis is on how sharing information will help in managing stakeholder engagement. In this scenario, you realize that your communication with some stakeholders is unproductive and you are trying to determine the reasons. Planning for cultural diversity or cultural awareness is understanding differences exist between ages, nationalities, ethnicities, races, or genders. Different cultures see, hear, and interpret the world differently and these differences affect the way cultures process verbal and nonverbal communication. Therefore, planning for cultural diversity in your communications management plan is the best answer."
24,Which of the following processes is responsible for verifying that the project deliverables are ready for inspection and acceptance by the customer?,,Direct and Manage Project Work,Control Procurements,Manage Quality,Control Quality,D,"The documented quality specifications and metrics described and required by the customer for deliverable approval are achieved by activities of the Control Quality process. It is only after these activities have been performed, can a deliverable be considered verified and ready for customer inspection and approval in the Validate Scope process. Verified deliverables are an output from the Control Quality process and an input into the Validate Scope process where they are provided to the customer for an inspection and, hopefully, acceptance, becoming the accepted deliverables."
25,"A_project manager has completed a project. A couple of months later, a vendor contacts the project manager stating that their invoice has not been paid and is past due, but the project manager believes that all invoices from the project have been paid and the procurements have been closed out. What should the project manager do next?",,Tell the vendor that all invoices have been paid since the procurements have been closed,Check with the accounts payable department to see if anyone remembers paying the invoice,Check the records in the procurement documentation,Proceed with claims administration to resolve the dispute,C,"It can be inferred from the question that the Control Procurements process had been performed and procurements closed out as part of the process. One of the outputs of the Control Procurements process is procurement documentation updates. Procurement documentation includes all documents used in signing, executing, and closing an agreement. Included among these documents will be the invoices and payment records for the project. Based on the scenario described by the question, the next action for the project manager should be to check the procurement documentation for invoices and payment records."
26,In which process should the risk response owners periodically report to the project manager on the effectiveness of their assigned risk response plans?,,Plan Risk Responses,Identify Risks,Monitor Risks,Audit Risks,C,"Risk should be monitored and assessed as the project progresses to manage the impact of risks and opportunities on the project. During the Monitor Risks process, the risk response owner periodically monitors the implementation of the risk response plans and reports on how their risk plan strategy is performing. The risk owner uses performance information generated during the project execution to determine if implemented risk responses are effective, whether or not the status of identified risks has changed, and if project risk strategy is still valid. Therefore, to periodically report to the project manager on the effectiveness of their assigned risk response plan, the risk response owners should use the Monitor Risks process."
27,You have been assigned project manager for a new software project and have finished the scope statement. You want to ensure that all scope and project deliverables are identified and can be effectively managed. What method would you use in developing your WBS to ensure that all parts of the project are captured?,,Bottom-up estimating,Rolling wave planning,Decomposition,Checklist analysis,C,"As a project manager on a new project you want to ensure that the WBS is established with the appropriate level of detail to manage scope through the duration of the project. Decomposition allows for dividing and subdividing the effort into smaller, more manageable parts. Activities such as developing organizational structure, identifying codes of the WBS, and identifying and analyzing the deliverables are all key components of decomposition within the WBS."
28,"As a project manager, you are leading a project, where you have twelve programmers. Two of them have just handed in their letters of resignation. This realized risk had been identified and accounted for during the planning stage of the project. If no action is taken, you will not meet your deadlines. What should you do next?",,Crash the schedule,Submit a change request to update the schedule baseline,Review the risk register,Perform the Plan Risk Responses process,C,The question implies that the project manager is about to carry out the Implement Risk Responses process. The risk register is one of the inputs to the Implement Risk Responses process. The risk register records the agreed-upon risk responses for each individual risk and the nominated owners for each response plan. The next thing you need to do is review the risk register so you can implement the agreed-upon risk response.
29,"You and the project management team have been vigilant about observing different aspects of the project to ensure the project is progressing as planned. Currently, you are using performance data generated during project execution to determine if the status of overall project risk has changed, if the project assumptions are still valid, if contingency reserves for cost or schedule require modification, and if project strategy remains valid. What process are you performing?",,Plan Risk Responses,Monitor Risks,Plan Risk Management,Identify Risks,B,"The Monitoring and Controlling Process Group uses work performance data which is generated during project execution and analyzed in context to track, review, and regulate the progress and performance of the project as well as identify any areas that require change. The scenario described a list of aspects of a project that a project manager would want to monitor for effectiveness during the Monitor Risks process."
30,"Technical requirements on a website development project specify that the system should be able to handle 100,000 transactions per day without performance being affected. The team recently measured technical performance of the system and determined the system was experiencing deterioration already at 80,000 user transactions per day. The project manager has noted the discrepancy in the issue log. What process has the project manager just performed?",,Perform Qualitative Risk Analysis,Plan Risk Responses,Monitor Risks,Control Quality,D,"Part of the Control Quality process entails documenting when a deliverable does not meet quality requirements. In this scenario, the observation that user transactions were 20,000 below the requirement of 100,000 is a variation that needs to be recorded. By recording the discrepancy in the issue log the project manager was creating an output of the Control Quality process, making Control Quality the best answer to the question asked."
31,"In the midst of project execution, a member of your team has suggested a change to a project artifact that would affect the final product. You ask her to determine if the artifact has been defined as a formally controlled item that requires a change request. Where will she find this information?",,Configuration management plan,Performance measurement baseline,Change management plan,Requirements management plan,A,"The configuration management plan is a component of the project management plan that defines the applicable project artifacts and determines which of those artifacts if changed, could affect or alter the project product or outcome. The plan defines the items that are configurable and then defines those configurable items that require formal change control and the process for controlling the changes."
32,"The project sponsor has initiated a study in which participants would be evaluated in company facilities across the country. As the project manager, you are helping the sponsor with project initiation. When proposing an implementation strategy for the project, what would you consider the company facilities?",,Enterprise environmental factors external to the organization,Enterprise environmental factors internal to the organization,Organizational process assets external to the organization,Organizational process assets internal to the organization,B,"Task 4 of the Initiating Domain of the Project Management Professional (PMP)® Examination Content Outline states, ""Identify high-level risks, assumptions, and constraints based on the current environment, organizational factors, historical data, and expert judgment, in order to propose an implementations strategy."" Enterprise environmental factors (EEFs) refer to conditions, not under the control of the project team, that influence, constrain, or direct the project. EEFs can be internal and/or external to the organization. In the scenario described, the company facilities are an example of an internal EEF which is a constraint that must be considered when proposing an implementation strategy for the project."
33,"You are managing a project to build 100 site towers, and you have just completed building the 50th tower. To mark the successful completion of this first significant milestone, you hold a celebration where you share the developments, challenges, and lessons learned so far on the project. In what process will you use this information and knowledge gained so far to improve the future performance of the project?",,Control Quality,Perform Continuous Improvement,Manage Quality,Direct and Manage Project Work,D,"This scenario showcases the iterative nature of a project. Work performance data, collected during project execution, is transformed into work performance information and is used as an input to the Monitor and Control Project Work process which provides feedback into the lessons learned register. The lessons learned from which the project can benefit are then translated into change requests which are subsequently implemented in the Direct and Manage Project Work process to improve the future performance of the project. You are using the celebration of the first milestone to reflect on the lessons learned to date and to highlight how to incorporate them into the remainder of the project. Therefore, it is the Direct and Manage Project Work process where information and knowledge gained throughout the project will be used to improve the future performance of the project."
34,"During the development of the project management plan and before establishing baselines, the project manager is asked by a key stakeholder to add a critical feature that will slightly extend the project schedule and cost. What should the project manager do?",,Ask the stakeholder to submit a change request to change control board,Submit a change request on behalf of the stakeholder and ask them to sign it,Reject the stakeholder's request,Update the project management plan as requested by the stakeholder,D,"The project management plan is baselined and approved before the project enters its execution. Baselines (scope, cost, schedule) are part of the project management plan. As long as the baselines are not established, as in this situation, the project management plan can be modified as many times as necessary. No change request is needed in this situation. Therefore, among the choices provided, updating the project management plan as requested by the stakeholder is the best answer to the question asked."
35,"In the midst of the software development project, one of the five programmers working on the project has been reassigned. If not addressed, this situation will cause the project to miss the delivery date. The only available options at this point are to crash the schedule by paying overtime to the remaining four programmers or pay the penalty for late delivery as outlined in the contract. What is the best data analysis tool or technique to use to determine whether to crash the schedule or pay the penalty?",,Performance reviews,Alternatives analysis,Trend analysis,Perform Quantitative Risk Analysis,B,"The question suggests that the Control Resources process is carried out. Data analysis techniques including alternatives analysis may be used during the Control Resources process. Alternatives can be analyzed to select the best resolution for correcting variances in resource utilization. In the situation described in the question, the alternatives of paying the overtime can be weighed against the penalty for delivering late. Therefore, alternatives analysis would be the best data analysis technique to use in this situation. Note, the Control Resources process is concerned with physical resources, while the Develop Team focuses on human resources. Technically speaking, the alternatives analysis is one of the tools/techniques of the Control Resources process and not the Develop Team process. However, this does not mean the alternatives analysis cannot be applied in other circumstances or processes. As we frequently recommend in the explanations to our questions, the goal is to select the best answer among the choices given. It will not always be the ideal/perfect answer that you would prefer to see as the correct choice. Sometimes you will have to eliminate the worst three choices and stay with a bad one, but it should be better than the others, the lesser of four evils if you wish. Other times, all four choices may seem correct, so, again, you would have to select the one which is better than the others. Under the circumstances described in this particular scenario and with the given set of the answer choices, alternatives analysis is the best answer to the question asked. I hope this clarifies the question and the correct answer to your satisfaction."
36,"A_project manager who is in drafting the project charter for a new project, recalls a similar past project that was terminated early. The project manager thinks that the details of the past project's performance may be beneficial for this project. What is the best course of action for the project manager?",,Research the organizational process assets (OPAs),"Every project is unique, so information from previous projects is irrelevant",Review the lessons learned register of the current project,Check the enterprise environmental factors (EEF),A,"The question states that the project manager is developing the project charter for a new project and suggests that information from a previous project may be beneficial in this process. The OPAs should contain historical information from past projects, including project performance and knowledge gained. Knowledge gained from past projects is captured in the lessons learned repository as an OPA. Understanding the reasons for the previous project's early termination may help the project manager avoid the same fate for the current project. Therefore, of the available options, the best course of action for the project manager is to check the OPAs to glean any information from the past project which may benefit the current project."
