No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
21,Which of the following is a tool or technique of the Control Costs process?,,Project funding requirements,Communication methods,Project management plan,To-complete performance index,D,The Control Costs process has the following tools and techniques: ● Expert judgment ● Earned value management (EVM) ● Variance analysis ● Trend analysis ● Reserve analysis ● To-complete performance index (TCPI) ● Project management information systems Control Costs is the process of monitoring the status of the project to update the project costs and manage changes to the cost baseline.
22,"Which input of the Manage Stakeholder Engagement process describes the methods, formats, and technologies used to communicate with stakeholders?",,Work performance reports,Communications management plan,Lessons learned register,Stakeholder engagement plan,B,"Manage Stakeholder Engagement is the process of communicating and working with stakeholders to meet their needs and expectations, address issues, and foster appropriate stakeholder involvement. The process has the following four inputs: ● Project management plan (including the communications management plan, stakeholder engagement plan, the risk management plan, the and the change management plan) ● Project documents (including the change log, the issue log, the lessons learned register, and the stakeholder register) ● Enterprise environmental factors ● Organizational process assets"
23,Which of the following statements is false?,,The Estimate Activity Durations process uses both decision-making techniques and,The Estimate Activity Durations process uses the following organizational process assets:,"The risk register provides a list of risks, the results of risk analysis, and risk response",The Estimate Activity Durations process can produce updates to the activity attributes.,B,"The Estimate Activity Durations process has the following four inputs: ● Project management plan ● Project documents ● Enterprise environmental factors (e.g., published commercial information) ● Organizational process assets (e.g., historical information, scheduling methodology) It is in this process that the number of work periods needed to complete individual activities with the estimated resources is estimated."
24,Which of the following is not a tool or technique used in the Plan Schedule Management process?,,Alternatives analysis,Meetings,Expert judgment,Multicriteria decision analysis,D,"The Plan Schedule Management process has the following three tools and techniques: ● Expert judgment ● Data analysis (e.g., alternatives analysis) ● Meetings"
25,Which of the following is a tool and technique of the Perform Qualitative Risk Analysis process?,,Probability and impact matrix,Reserve analysis,Strategies for threats,Schedule network analysis,A,"Perform Qualitative Risk Analysis is the process of prioritizing individual project risks for further analysis or action by assessing their probability of occurrence and impact as well as other characteristics. This process has seven tools and techniques: ● Expert judgment ● Data gathering ● Data analysis ● Interpersonal and team skills ● Risk categorization ● Data representation (e.g., probability and impact matrix) ● Meetings"
26,"The Sequence Activities process has four tools and techniques, including: ● Precedence diagramming method (PDM) ● Dependency determination and integration ● Project management information system Which of the following tools and techniques is missing from the list?",,Expert judgment,Project schedule network diagrams,Published estimating data,Leads and lags,D,The Sequence Activities process has the following four tools and techniques: ● Precedence diagramming method (PDM) ● Dependency determination and integration ● Leads and lags ● Project management information system This process is where the relationships among the project activities is identified and documented.
27,There was a delay in the delivery of materials and equipment that have been purchased from a supplier. Where should you look for guidance on resolving this issue? Top of Form,,Resource management plan and procurement contracts,Resource requirements and policies for resource control,Issue escalation procedures and project schedule,Work performance data and lessons learned repository,A,"The scenario suggests you are performing the Control Resources process. Control Resources is the process of ensuring that the physical resources assigned and allocated to the project are available as planned, as well as monitoring the planned versus actual utilization of resources and taking actions as necessary. While all answer choices can be valid inputs to the Control Resources process, only the resource management plan and procurement contracts specify actions that should be taken while resolving issues with suppliers."
28,Which of the following is a tool or technique of the Validate Scope process? Top of Form,,Decomposition,Expert judgment,Inspection,Change control meetings,C,"With only two tools and techniques, namely inspection and decision making, the Validate Scope process focuses on examining deliverables to decide whether the work meets the requirements and acceptance criteria."
29,Which of the following is an output of the Develop Team process?,,Organizational process assets,Work performance information,Team performance assessments,Training,C,"Develop Team is the process of improving competences, team member interaction, and overall team environment to enhance project performance. The Develop Project Team process has the following six outputs: ● Team performance assessments (effectiveness in performing assignments, working as a team, reducing turnover, open sharing and helping one another) ● Change requests ● Project management plan updates (resource management plan) ● Project document updates (lessons learned register, project schedule, project team assignments, resource calendars, team charter) ● Enterprise environmental factors updates (employee development plan records and skill assessments) ● Organizational process assets updates (training requirements and personnel assessments)"
30,"Which of the following is not an input used in the same process that uses work performance information to track, review, and report on progress to meet the performance objectives defined in the project management plan?",,Schedule forecasts,Change requests,Cost forecasts,Quality reports,B,"The question is referring to the Monitor and Control Project Work process which has six inputs: ● Project management plan ● Project documents (e.g., schedule forecasts, costs forecasts, quality reports) ● Work performance information ● Agreements ● Enterprise environmental factors ● Organizational process assets Monitor and Control Project Work is the process of tracking, reviewing, and reporting overall progress to meet the performance objectives defined in the project management plan. It is helpful to note that work performance information is an input only to the Monitor and Control Project Work process."
31,Which of the following is not a tool and technique of the Manage Stakeholder Engagement process?,,Observation/conversation,Communication skills,Independent estimates,Ground rules,C,"Manage Stakeholder Engagement is the process of communicating and working with stakeholders to meet their needs and expectations, address issues, and foster appropriate stakeholder involvement. This process has the following five tools and techniques: ● Expert judgment ● Communication skills (e.g., feedback) ● Interpersonal and team skills (including conflict management, cultural awareness, negotiation, observation/conversation, and political awareness) ● Ground rules ● Meetings"
32,Approved change requests are a result of which of the following processes?,,Direct and Manage Project Work,Control Quality,Control Procurements,Perform Integrated Change Control,D,"Perform Integrated Change Control is the process of reviewing all change requests; approving changes and managing changes to deliverables, organizational process assets, project documents, and the project management plan; and communicating the decisions. The Perform Integrated Change Control process has the following three outputs: ● Approved change requests ● Project management plan updates ● Project document updates"
33,Which of the following is an output of the Estimate Activity Resources process?,,Project team assignments,Activity duration estimates,Scope baseline,Resource breakdown structure,D,"Estimate Activity Resources is the process of estimating team resources and the type and quantities of material, equipment, and supplies necessary to perform project work. This process has four outputs: ● Resource requirements ● Basis of estimates ● Resource breakdown structure by category (labor, material, equipment, and supplies) and type (experience, education, certifications, and skills) ● Project documents updates"
34,Which of the following is a tool or technique of the Plan Resource Management process?,,Requirements documentation,Organizational governance framework,Organization charts,Team charter,C,"Plan Resource Management is the process of defining how to estimate, acquire, manage, and utilize physical and team resources. The Plan Resource Management process has the following four tools and techniques: ● Expert judgment ● Data representation (hierarchical charts, responsibility assignment matrix, and text-oriented formats) ● Organizational theory ● Meetings"
35,Decomposition is a tool and technique of which two processes? Top of Form,,Create WBS and Estimate Activity Resources,Create WBS and Plan Risk Management,Define Scope and Create WBS,Create WBS and Define Activities,D,"Decomposition is a technique used for dividing and subdividing the project scope and project deliverables into smaller, more manageable parts. It is explicitly listed as a tool and technique for both the Create WBS and the Define Activities processes."
36,"The outputs of the Create WBS process include the project scope statement, the work package(s), the planning package(s), the WBS dictionary, and updates to the assumption log and the requirements documentation. Which of the following outputs is missing from this list?",,Work breakdown structure,Project management plan,Organizational process assets updates,Duration estimates,A,"The Create WBS process subdivides the project deliverables and project work into smaller, more manageable components. It has the following two outputs: ● The project scope baseline includes the project scope statement, the work package(s), the planning package(s), the work breakdown structure, and the WBS dictionary ● The updates to project documents including the assumption log and the requirements documentation."
37,Which of the following is not a tool or technique of the Estimate Costs process?,,Stakeholder analysis,Project management information systems,Cost of quality,Analogous estimating,A,Estimate Costs is the process of developing an approximation of the monetary resources needed to complete project work. This process has the following ten tools and techniques: ● Expert judgment ● Analogous estimating ● Parametric estimating ● Bottom-up estimating ● Three-point estimates ● Alternatives analysis ● Reserve analysis ● Cost of quality ● Project management information systems ● Decision making
38,"The Plan Risk Responses process has three outputs, including: ● Project management plan updates ● Project documents updates Which of the following outputs is missing from the list?",,Requirements traceability matrix,Schedule data,Change requests,Risk categorization,C,"Plan Risk Responses is the process of developing options, selecting strategies, and agreeing on actions to address overall project risk exposure, as well as to treat individual project risks. It has the following three outputs: ● Change requests ● Project management plan updates (including the schedule, cost, quality, resource, and procurement management plans, and the scope, schedule, and cost baselines) ● Project documents updates (including the assumption log, cost forecasts, the lessons learned register, the project schedule, project team assignments, the risk register, and the risk report)"
39,Which of the following is not an output of the Monitor Risks process?,,Change requests,Risk reviews,Risk report updates,Issue log updates,B,"Monitor Risks is the process of monitoring the implementation of agreed-upon risk response plans, tracking identified risks, identifying and analyzing new risks, and evaluating risk process effectiveness throughout the project. This process has five outputs, including: ● Work performance information ● Change requests ● Project management plan updates (any component) ● Project documents updates (including the assumption log, the issue log, the lessons learned register, the risk register, and the risk report) ● Organizational process assets updates"
40,Which output of the Perform Qualitative Risk Analysis process includes a prioritized list of all identified risks and a summary conclusion?,,Risk register,Assumption log,Updates to the risk report,Work performance reports,C,"Perform Qualitative Risk Analysis is the process of prioritizing individual project risks for further analysis or action by assessing their probability of occurrence and impact as well as other characteristics. This process has one output, project documents updates, which contains four documents that are updated: ● Assumption log ● Issue log ● Risk register ● Risk report"
41,Which of the following is a tool and technique of the Plan Risk Management Process?,,Meetings,Representations of uncertainty,Change requests,Audits,A,Plan Risk Management is the process of defining how to conduct risk management activities for a project. This process has the following three tools & techniques: ● Expert judgment ● Data analysis ● Meetings
42,Which of the following is a tool or technique of the Develop Project Charter process?,,Prototypes,Change control meetings,Expert judgment,Business case,C,The Develop Project Charter process has the following four tools and techniques: ● Expert judgment ● Data gathering ● Interpersonal and team skills ● Meetings It is in this process where a document that formally authorizes the existence of a project is developed. The charter provides the project manager with the authority to apply organizational resources to project activities.
43,Which of the below is not an input of the Plan Stakeholder Engagement process?,,Assumption log,Risk register,Stakeholder engagement plan,Communications management plan,C,"Plan Stakeholder Engagement is the process of developing approaches to involve project stakeholders, based on their needs, expectations, interests, and potential impact on the project. This process has the following six inputs: ● Project charter ● Project management plan (including the communications management plan) ● Project documents (including the assumption log and the risk register) ● Agreements ● Enterprise environmental factors ● Organizational process assets"
44,Which of the following is an input to the Develop Project Charter process?,,Organizational process assets,Project charter,Project management plan,Change requests,A,The Develop Project Charter is the process of developing a document that formally authorizes the existence of a project and provides the project manager with the authority to apply organizational resources to project activities. It has four inputs: ● Business documents ● Agreements ● Enterprise environmental factors ● Organizational process assets
45,Which of the following is a tool and technique of the Develop Schedule process?,,Agile release planning,Expert judgment,Resource calendars,Analogous estimating,A,The Develop Schedule process has the following eight tools and techniques: ● Schedule network analysis ● Critical path method ● Resource optimization ● Data analysis ● Leads and lags ● Schedule compression ● Project management information system ● Agile release planning
46,Which of the following techniques may need to use duration estimates? Top of Form,,Sensitivity analysis,Modeling and simulation,Probability and impact matrix,SWOT analysis,B,"In modeling and simulation, the project model is iteratively computed with input values chosen randomly from the cost or schedule estimates for each iteration and the probability distribution of these variables. SWOT analysis is used during the Identify Risks process. Probability and impact matrix is an example of a data representation technique used in the Perform Qualitative Risk Analysis process. Sensitivity analysis is used to compare the relative impact of risks on project objectives and also does not required to create duration estimates."
47,"The Estimate Costs process has three outputs, including: ● Cost estimates ● Project documents updates Which of the following outputs is missing from the list?",,Cost management plan,Resource requirements,Basis of estimates,Organizational process assets updates,C,"Estimate Costs is the process of developing an approximation of the monetary resources needed to complete project work. It has the following three outputs: ● Cost estimates ● Basis of estimates ● Project document updates (assumption log, lessons learned register, and risk register)"
48,Which of the following is a tool or technique of the Estimate Activity Durations process?,,Decomposition,Activity attributes,Parametric estimating,Facilitated workshops,C,The Estimate Activity Durations Process is where the number of work periods needed to complete individual activities with the estimated resources are estimated. This process has the following eight tools and techniques: ● Expert judgment ● Analogous estimating ● Parametric estimating ● Three-point estimating ● Bottom-up estimating ● Data analysis ● Decision making ● Meetings
49,"The Perform Quantitative Risk Analysis process has five tools and techniques, including: ● Data gathering ● Expert judgment ● Interpersonal and team skills ● Data analysis Which of the following tools and techniques is missing from the list?",,Representations of uncertainty,Statistical sampling,Cost-benefit analysis,Assumption and constraint analysis,A,"Perform Quantitative Risk Analysis is the process of numerically analyzing the effect of identified individual project risks and other sources of uncertainty on overall project objectives. This process has five tools and techniques, including: ● Data gathering ● Expert judgment ● Representations of uncertainty ● Interpersonal and team skills ● Data analysis"
50,Which of the following processes uses expert judgment as a tool and technique?,,Validate Scope,Develop Schedule,Develop Team,Develop Project Management Plan,D,"The Develop Project Management Plan is the process of defining, preparing, and coordinating all plan components and consolidating them into an integrated project management plan. This process has the following four tools and techniques: ● Expert judgment ● Data gathering ● Interpersonal and team skills ● Meetings"
51,What enterprise environmental factors can influence the Estimate Activity Resources process? Top of Form,,Duration estimating databases,Staffing policies and procedures,"Resource location, availability, and skill",Productivity metrics,C,"Resource location, resource availability, and skills are all enterprise environmental factors that can influence the Estimate Activity Resources process, along with organizational culture, published estimating data, and marketplace conditions. These factors help to identify the type and quantities of human resources, materials, equipment, and supplies necessary for members of your project teams to complete project activities in the environment where they work."
52,Which of the following is a tool or technique of the Manage Quality process?,,Quality metrics,Problem solving,Reserve analysis,Meetings,B,The Manage Quality process has the following eight tools and techniques: ● Data gathering ● Data analysis ● Decision making ● Data representation ● Audits ● Design for X ● Problem solving ● Quality improvement methods
53,Which of the following is not a tool or technique of the Develop Team process?,,Team-building activities,Virtual teams,Training,Resource optimization,D,"Develop Team is the process of improving competences, team member interaction, and overall team environment to enhance project performance. It has the following eight tools and techniques: ● Colocation ● Virtual teams ● Communication technology (shared portal, video conferencing, audio conferencing, email/chat) ● Interpersonal and team skills (conflict management, influencing, motivation, negotiation, team building) ● Recognition and rewards ● Training (competencies) ● Individual and team assessments (preferences, aspirations, information processing, decision making, work relationships) ● Meetings (project orientation, team building, team development)"
54,Which of the following is an input to the Perform Integrated Change Control process?,,Agreements,Work performance reports,Change request status updates,Change log,B,"The Perform Integrated Change Control process has the following six inputs: ● Project management plan ● Project documents ● Work performance reports ● Change requests ● Enterprise environmental factors ● Organizational process assets Perform Integrated Change Control is the process of reviewing all change requests; approving changes and managing changes to deliverables, organizational process assets, project documents, and the project management plan; and communicating the decisions."
55,Which of the following is not an input to the Plan Resource Management process?,,Work performance information,Organizational process assets,Requirements documentation,Enterprise environmental factors,A,"The Plan Resource Management process has the following five inputs: ● Project charter ● Project management plan (quality management plan and scope baseline) ● Project documents (project schedule, requirements documentation, risk register, stakeholder register) ● Enterprise environmental factors or EEFs (culture, structure, geographic distribution, existing team’s competencies and availability, and market conditions) ● Organizational process assets or OPAs (policies and procedures for human resources, physical resource management, safety, security, templates for the resource management plan, and historical project information) Work performance information is not an input to the Plan Resource Management process. Work performance data is an output of the Executing process, Direct and Manage Project Work. Control Resources is one of the Monitoring and Controlling processes that analyze the data to output work performance information. In turn, this information serves as an input to Monitor and Control Project Work so that data analysis can produce work performance reports. These reports feed into the Perform Integrated Change Control, Manage Team, Manage Communications, and Monitor Risks processes."
56,Which of the following components of the project management plan is an input to the Plan Risk Management process? Top of Form,,Scope management plan,Schedule management plan,Communications management plan,All components of the project management plan,D,"In planning risk management, all approved subsidiary management plans should be taken into consideration to make the risk management plan consistent with them. The methodologies outlined in the various project management plan components might influence the Plan Risk Management process."
57,"The Manage Communications process has five inputs, including: ● Project documents ● Work performance reports ● Enterprise environmental factors ● Organizational process assets Which of the following inputs is missing from the list?",,Change log,Issue log,Resource management plan,Lessons learned register,C,"Manage Communications is the process of ensuring timely and appropriate collection, creation, distribution, storage, retrieval, management, monitoring, and the ultimate disposition of project information. This process has the following five inputs: ● Project management plan (e.g., resource management plan) ● Project documents ● Work performance reports ● Enterprise environmental factors ● Organizational process assets"
58,Which element of the project management plan is not typically updated as an output of the Conduct Procurements process?,,Communications management plan,Change management plan,Scope baseline,Procurement management plan,B,"Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. This process has the following six outputs: ● Selected sellers ● Agreements ● Change requests ● Project management plan updates (e.g., communications management plan, scope baseline, procurement management plan) ● Project documents updates ● Organizational process assets While change requests can be submitted as a result of carrying out the Conduct Procurements process, the change management plan itself is not typically updated during that process. All the other choices represent elements of the project management plan that may be updated during the Conduct Procurements process."
59,"The Control Schedule process has five outputs, including: ● Schedule forecasts ● Change requests ● Project management plan updates ● Project documents updates Which of the following outputs is missing from the list?",,Work performance reports,Work performance information,Organizational process assets updates (OPAs),Budget forecasts,B,"The Control Schedule process has the following five outputs: ● Work performance information ● Schedule forecasts ● Change requests ● Project management plan updates ● Project documents updates This process is defined as ""the process of monitoring the status of the project to update the project schedule and manage changes to the schedule baseline""."
60,Which of the following is an output of the Monitor and Control Project Work process?,,Milestone list,Enterprise environmental factors updates,Organizational process assets updates,Project documents updates,D,"The Monitor and Control Project Work process has the following four outputs: ● Work performance reports ● Change requests ● Project management plan updates ● Project documents updates Monitor and Control Project Work is the process of tracking, reviewing, and reporting overall progress to meet the performance objectives defined in the project management plan."
61,"The Define Activities process has four tools and techniques, including: ● Decomposition ● Expert judgment ● Meetings Which of the following tools and techniques is missing from the list?",,Rolling wave planning,Alternative analysis,Audits,Project management information system,A,The Define Activities process has the following four tools and techniques: ● Expert judgment ● Decomposition ● Rolling wave planning ● Meetings
62,"The Determine Budget process has nine inputs, including: ● Cost management plan ● Resource management plan ● Scope baseline ● Basis of estimates ● Cost estimates ● Project schedule ● Risk register ● Benefits management plan ● Enterprise environmental factors ● Organizational process assets Which of the following inputs is missing from the list?",,Agreements,Stakeholder register,Project charter,Project staff assignments,A,The Determine Budget process has the following inputs: ● Cost management plan ● Resource management plan ● Scope baseline ● Basis of estimates ● Cost estimates ● Project schedule ● Risk register ● Benefits management plan ● Agreements ● Enterprise environmental factors ● Organizational process assets Determine Budget is the process of aggregating the estimated costs of individual activities or work packages to establish an authorized cost baseline.
63,Which of the following processes assesses the quality of risk data? Top of Form,,Identify Risks,Plan Risk Responses,Perform Qualitative Risk Analysis,Perform Quantitative Risk Analysis,C,"Risk data quality assessment is part of the Perform Qualitative Risk Analysis process to evaluate risk data in terms of the accuracy, reliability, and integrity. It is very important because low-quality risk data may lead to poor qualitative risk analysis and subsequent response planning. An evaluation of the quality of the risk data also helps to clarify the assessment of each risk's importance to the project."
64,Which of the following is a tool or technique of the Control Scope process? Top of Form,,Work performance information,Audits,Inspection,Variance analysis,D,"The Control Scope process is where the status of the project is monitored. It is also where the product scope and changes to the scope baseline are managed. The process has only one tool and technique, data analysis, which includes variance analysis and trend analysis."
65,Which of the following is not an input to the Develop Project Management Plan process?,,Project charter,Organizational process assets,Work performance reports,Outputs from other processes,C,"The Develop Project Management Plan process has the following four inputs: ● Project charter ● Outputs from other processes ● Enterprise environmental factors ● Organizational process assets It is in this process where all plan components are defined, prepared, coordinated, and consolidated into an integrated project management plan."
66,Which of the following is not a tool or technique used in the Define Activities process?,,Bottom-up estimating,Decomposition,Rolling wave planning,Expert judgment,A,The Define Activities process has the following four tools and techniques: ● Expert judgment ● Decomposition ● Rolling wave planning ● Meetings
67,"The Manage Stakeholder Engagement process has three outputs, including: ● Change requests ● Project documents updates Which of the following outputs is missing from the list?",,Project management plan updates,Work performance information,Meetings,Milestone list,A,"Manage Stakeholder Engagement is the process of communicating and working with stakeholders to meet their needs and expectations, address issues, and foster appropriate stakeholder involvement. The Manage Stakeholder Engagement process has three outputs, including: ● Change requests ● Project management plan updates (e.g., the communications plan, the stakeholder engagement plan) ● Project document updates (including the change log, the issue log, the lessons learned register, and the stakeholder register)"
68,One of the project management processes results in only one output. This output specifies the level of precision. What output is that? Top of Form,,Stakeholder engagement plan,Schedule management plan,Project management plan,Cost management plan,D,"Level of precision is defined in the cost management plan. An important distinction should be noted. The 'level of precision' is the degree to which cost estimates will be rounded up or down (e.g., $9,995.59 to $10,000), based on the scope of the activities and magnitude of the project. The 'level of accuracy' is the acceptable range (e.g., 10%) used in determining realistic cost estimates is specified and may include an amount for contingencies."
