No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
11,A project manager is currently using data analysis techniques to develop work performance information to compare the work performed so far against the project schedule. Which of the following processes is the project manager currently carrying out?,,Control Schedule,Estimate Activity Durations,Develop Schedule,Estimate Activity Resources,A,"Various data analysis techniques, such as earned value analysis, iteration burndown chart, trend analysis, etc. are used in the Control Schedule process to conduct a comparison of work performed to the project schedule. Work performance information, which is an output of the Control Schedule process, includes information on how the project work is performing compared to the schedule baseline. In the scenario provided, the project manager is using data analysis techniques to develop work performance information to compare the work performed so far against the project schedule. These activities are best described by the Control Schedule process."
12,A large and complex project involving the coordination of several vendors is approaching its completion. The project manager wants to find the requirements for formal procurement closure. What should the project manager do?,,Review the procurement requirements register,Check the requirements traceability matrix,Examine the organizational process assets,Look at the procurement management plan,D,"The requirements for procurement closure are usually defined in the terms and conditions of the contract and are included in the procurement management plan. The procurement management plan is a component of the project or program management plan that describes how a project team will acquire goods and services from outside of the performing organization. Of the available choices, the procurement management plan is the only option that may contain the requirements for procurement closure."
13,"As part of the Plan Stakeholder Engagement process, the project manager has just finalized the stakeholder engagement plan. What should the project manager do next?",,Create the stakeholder engagement assessment matrix,Submit a change request to update the project management plan,Create the stakeholder register,Finalize the project management plan and have it approved,D,"The stakeholder engagement plan is the only output from the Plan Stakeholder Engagement process. Once the stakeholder engagement plan has been completed, the Plan Stakeholder Engagement process is complete. With some exceptions, there are no strict guidelines on when chronologically each planning process should take place. However, typically, Plan Stakeholder Engagement is the last process of the Planning Process Group to be performed. Thus, of the choices provided, finalizing the project management plan and having it approved is the most logical next step for the project manager to take and is, therefore, the best answer to the question asked. The other choices represent actions that would have been completed previously or are unnecessary at this point in the project."
14,"Nearing the end of the project, while reviewing the final invoices for payment, the project manager notices that one of the sellers performed some change requests that were not approved. After several conversations, the project manager and the seller cannot reach an agreement on compensation for the changes. How should the project manager resolve this situation?",,Begin court litigation,Engage a third-party to resolve the dispute,Pay the outstanding invoice,Get your project team's advice,B,"Contested charges where the buyer and seller cannot reach an agreement are called claims. The contract usually has terms to manage claims administration. The preferred way to resolve claims is through direct negotiation between the involved parties. If the parties cannot resolve a claim themselves, it should be handled by alternative dispute resolution (ADR), typically following the procedures in the contract. The scenario describes that direct negotiation has already taken place unsuccessfully. The next step for the project manager to take is to identify some form of ADR which is typically done with the help of a third party. Therefore, engaging third-party resolution is the best answer to the question asked."
15,"All requirements on a project were collected in detail during project planning, and the scope, cost, and schedule of the project were well-defined. Despite this fact, due to several issues that have been encountered and logged during project execution, there has been a significant increase in the number of changes requested by the client. How should the project manager handle this situation?",,"Enter the change requests into the change log, then add them to the issue log","Capture the change requests in the issue log, then enter them into the change log","Record the issues in the change log, and the change requests in the issue log",Document the change requests in the change log,D,"During the monitoring and controlling processes, issues arise which may spur proposed changes. The issues are first recorded in the issue log. If after review of the issue log it is determined a change request is required, then the change request is logged in the change log, and the change request goes through the Perform Integrated Change Control process. Change requests may modify project policies or procedures, project or product scope, project cost or budget, project schedule, or quality of the project or product results. The project manager should document all issues in the issue log and all change requests in the change log. The question reads, ""...issues that have been encountered and logged during project execution..."" This means the issues have been captured in the issue log. Therefore, among the choices given, documenting the change requests in the change log is the best answer to the question asked. Note, it may be a good idea to document the fact described in the scenario that there has been a significant increase in the number of changes requested by the client. This situation should be documented as an issue in the issue log for further investigation, and a recommendation of a corrective action that can later be documented in the lessons learned register to be used during the remainder of the current project or on future projects. However, this option is not provided among the answer choices."
16,You are finalizing the open claims with the contractor that delivered some of the components for your project. Which project management process are you currently performing?,,Close Procurements,Procurement audit,Control Procurements,Validate Scope,C,"Since the contractor is an outside company, the agreement with your company would be handled in the Project Procurement Management Knowledge Area, to which the Control Procurements process belongs. The Control Procurements process involves claims administrative activities such as finalizing open claims. Once open claims are resolved with the seller, closed procurements (an output of the Control Procurements process) can be used in procurement documentation when finalizing the project in the Close Project or Phase process."
17,"A change request is approved to add functionality to a deliverable. The client's representative agrees to the additional expense in a follow-up call. At the end of the project, the client disputes the charges for the extra functionality. It turns out that the representative has left the company. What should the project manager have done differently to avoid this situation?",,Used active listening skills to ensure understanding,Followed up the phone conversation with a different choice of media,Declined the customer's request as it is an example of scope creep,Incorporated interactive communication to ensure a common understanding,B,"The choice of media is one of the considerations for effective communication. The choice of media includes decisions about the application of communications artifacts to meet specific project needs, such as when to communicate in writing versus orally, when to prepare an informal memo versus a formal report, and when to use push/pull options as the choice of appropriate technology. In this case, the project manager should have followed up the phone conversation (informal oral communication) with formal written communication in the form of an updated contract or an addendum to the existing contract instead of relying on informal oral communication. With informal oral communication, there is no record of what agreements were made. Additionally, an oral contract, as suggested by the question, cannot supersede a written contract from a legal standpoint. Therefore, of the available choices, following up the phone conversation with a different choice of media is the best way the issue could have been avoided."
18,"To smooth the onboarding process for a group of new hires, a project manager would like his team to impart their working knowledge of the internal client culture and unwritten rules to the new staff. Thus, a training meeting was conducted, but the team did not actively participate in sharing information, raising concerns, or asking questions. What is the most likely reason?",,Meetings are not an efficient way to share and transfer knowledge with new team members,"The team has not yet built trusting relationships to feel free to ask questions, express concerns, or",The new hires are younger professionals who are accustomed to more interactive and entertaining,Relying on discussions instead of having the team members document their knowledge in a,B,"The project manager is wise to be concerned with knowledge management on the team, and training meetings can be an effective way of getting team members to share information with each other. However, given that some of the team members are new hires, this suggests that the team members may not feel comfortable participating in discussions to exchange knowledge. The most important part of knowledge management is creating an atmosphere of trust so that people are motivated to share their knowledge and to pay attention to what others know. Since the project manager has recently hired new staff, he may need to work on team-building before managing project knowledge. Once trusting relationships have been established, future training meetings will likely be more successful."
19,"The first phase of your project was completed successfully. However, during execution of the second phase, you receive questions about the phase objectives, and there seems to be confusion surrounding stakeholder roles and responsibilities. You have also noticed that the commitment level of the stakeholders has declined compared to the first phase. What strategy should have been used to avoid this situation?",,Conducting a kick-off meeting at the start of each phase,Carrying out a team-building exercise with the project stakeholders,Conducting the project in a single phase,Assigning a different project manager for each phase of the project,A,"The purpose of a kick-off meeting is to communicate the objectives of the project, gain the commitment of the team for the project, and explain the roles and responsibilities of each stakeholder. Multiphase projects will typically include a kick-off meeting at the beginning of each phase. Had the project manager conducted a kick-off meeting at the start of the second phase, the phase objectives would have been made clear to the stakeholders, and the confusion about stakeholder roles and responsibilities could have been reduced or avoided."
20,"During a meeting, it is apparent that the director of marketing was inadvertently left off the communication of a scope change to the product under development. After the issue is resolved, the project manager wants to document how the issue could have been avoided to prevent a recurrence. What should the project manager update?",,Lessons learned register,RACI chart,Assumption log,Best practices log,A,One output of the Manage Communications process can be updates to the lessons learned register. The lessons learned register is updated with information on challenges encountered and how they could have been avoided as well as approaches that worked well and did not work well for managing communications. The lessons learned register should be updated to capture knowledge gained during a project which can be used to improve future performance.
21,"When reviewing the issue log, the project manager finds a new entry indicating that additional fencing is needed to address ground security risks on the project. After reviewing the risk register, she finds ground security among the risks identified during project planning. She wants to address the risk but is not sure if the project has enough funds to cover it. Which data analysis technique can be used to make this determination?",,Technical performance analysis,Reserve analysis,Contingency analysis,Risk audit,B,"It is reasonable to assume that the scenario describes the Monitor Risks process. Reserve analysis is an example of the data analysis technique that can be used in this process. Reserve analysis compares the amount of the contingency reserves remaining to the amount of risk remaining at any time in the project in order to determine if the remaining reserve is adequate. The question states that the ground security risk has been identified during project planning implying the response was planned for this risk including security fund allocation. The project manager would need to find out if the security risk response plan included enough funds that would cover the additional fencing. This determination can be made by performing a reserve analysis, making a reserve analysis the best answer, of the available choices, to the question asked."
22,"As part of the Monitor and Control Project Work process, your project team created a project status report which included burndown charts, earned value graphs, and other information. The information contained in the report is of vital importance to several stakeholders who rely on the information to take appropriate action. What should be done next?",,Disseminate the report through the Monitor and Control Project Work process,Distribute the report as part of the Monitor Communications process,Carry out the Manage Communications process to communicate the report,Submit a change request to update the communications management plan before communicating,C,"Work performance reports are the output of the Monitor and Control Project Work process. These reports are then circulated to the project stakeholders through the Manage Communications process as defined in the communications management plan. Examples of work performance reports include status reports and progress reports. Work performance reports are the physical or electronic representation of work performance information compiled in project documents, intended to generate decisions, actions, or awareness. Work performance reports can contain earned value graphs and information, trend lines and forecasts, reserve burndown charts, defect histograms, contract performance information, and risk summaries. Note that the better answer to the question asked could have been communicating the report by following the communications management plan, but that option was not provided as an answer choice. Therefore, of the available choices, the next step in this scenario is to carry out the Manage Communications process to communicate the project status report which implies following the communications management plan."
23,"You are managing a project, and members of your project team are at odds about the tasks they are assigned. Disagreements between the team members have escalated and have created a reduction in performance across the project. What tool or technique will you use to address the team's issues and get the project back on track?",,Networking,Recognition and rewards,Training,Conflict management,D,"Managing a project team requires various management and leadership skills to promote teamwork and maintain a cohesive and productive environment. Conflict management, a component of the interpersonal and team skills grouping, is one of the skills needed. Conflict is inevitable in a project environment, as such conflict should be addressed in a timely manner. The success of a project will often depend upon the project managers' use of the tools and techniques of the Manage Team process, which in this case, is conflict management."
24,"You have just taken over a project that has experienced high turnover, which has created a division in the team between the new and original team members. You observe that the project team is exhibiting signs of frustration, and team members are not performing to the required standards. Your observations and investigation of the team's dynamics can best be recorded in which of the following documents?",,Project team assignments,Resource requirements,Team performance assessments,Work performance information,C,"While it cannot be unequivocally determined what process is described in the question, it is reasonable to assume that the observations and investigation you performed in the scenario can help you, as a project manager, develop strategies for improving the team performance. This information is documented as team performance assessments which are an output of the Develop Team process. These assessments are instrumental in providing information to the project manager as to where internal problems are impacting the team's ability to be effective. The evaluation of the team's effectiveness may include indicators such as team member skills and competencies, the ability to perform as a team, staff turnover, and team cohesiveness. As a result of evaluating the team's overall performance, the project manager can identify specific training, coaching, or mentoring to improve the team's effectiveness."
25,You are leading a project in a highly regulated industry to develop a new four-person aircraft for use in general aviation. The project has a change control board (CCB) to review and decide on change requests. A key project stakeholder has submitted a request to change the battery type from lead-acid that have been the industry standard for decades to lithium-ion. The change is supposed to save weight without affecting the cost or schedule baselines. What should the CCB do next?,,Approve the request since the cost or schedule baselines would not be affected,Defer the request to consult with a regulatory affairs professional,Reject the request since lead-acid batteries have been the industry standard for decades,Defer the request to consult with the project team members,B,"Aviation, as indicated by the question, is a highly regulated industry, and It cannot be determined from the question if the proposed change will conflict with any existing regulations. Expert judgment should be sought to understand the regulatory implications of the proposed change. Consulting with a regulatory affairs professional is an example of expert judgment. Therefore, of the available options, deferring the request to consult with a regulatory affairs professional is the best answer to the question asked. Note that there are other aspects of the change which should also be considered such as the reliability, safety, and availability of the new battery type, which are not covered by the question and are not required to select the correct answer."
26,"You have been a member of several project meetings to discuss high-level items for your next project. Some of the items that have been documented are a project description, a summary milestone schedule, and a list of stakeholders. What document will result from these meetings?",,The project charter,The stakeholder management plan,The project management plan,The schedule management plan,A,"The project charter contains a great deal of information mostly at a high-level. It is used as an input to the various management plans where the information becomes more detailed and specific. The project charter should be authored by the sponsoring entity. Ideally, the project manager is identified early and able to participate in the development of the project charter to obtain a foundational understanding of the project requirements. This understanding will better allow for efficient resources allocation to project activities. Additionally, the project charter sets a clear vision and mission for the project team and stakeholders allowing the project manager to lead the team towards the achievement of the project goals."
27,"A project manager has been assigned to a project just after the project charter was signed. The project manager conducted a benefits analysis with stakeholders which confirmed that the project was in alignment with the organizational strategy and expected business value. The project is now complete, and everybody agrees it was successful in meeting objectives for scope, schedule, and budget. However, the project was a failure from a business point of view. What most likely happened?",,The competitive landscape changed,It is not possible for a project to meet its objectives and not be successful from a business,The project manager failed to execute the project management plan properly,The benefits analysis was fundamentally flawed,A,"It is possible for a project to be successful from a scope/schedule/budget viewpoint, and to be unsuccessful from a business perspective. This situation can occur when there is a change in the business needs or the market environment before the project is complete. A change in the competitive landscape may very well cause a project to meet its objectives but fail to deliver the intended benefits. For example, let's say that a pharmaceutical company develops a drug to treat the symptoms associated with a certain disease. Just as the new drug is ready for market, a competing company discovers a cure for the same disease. The drug developed to treat the disease has just been made obsolete by the cure. The project to develop the drug may have been successful in meeting its objectives for scope, schedule, and budget, but would fail to deliver the intended business value from selling the drug."
28,"While performing monitoring and controlling activities, the project manager discovers inconsistencies between the project management plan and the project's actual performance. She now needs to determine corrective actions to minimize the impact of the inconsistencies on the project. In what project document would she have documented the inconsistencies and would look at to review them?",,Quality report,Change log,Assumption log,Issue log,D,"Inconsistencies are also known as issues. An issue log is a record of problems, gaps, inconsistencies, and conflicts that require action, so they do not impact project performance. In this scenario, the project manager would have logged the inconsistencies in the issue log, which she would then review to perform corrective action. The other answer choices can be eliminated because inconsistencies are not changes or assumptions, and a quality report is an output of the Manage Quality process, while the scenario states the project manager is performing monitoring and controlling activities."
29,"You are assigned to a research and development project as a project manager. Since the scope of the project cannot be well defined, you have used a cost-reimbursable contract with a vendor to produce some of the deliverables for your project. A recent audit has uncovered an expense that appears unrelated to your project has been submitted for payment by the vendor. What should you do first?",,Share the audit results with the vendor's representative,Proceed with claims administration,Instruct the accounts payable department to stop all payments to the vendor,Begin litigation to recover any funds disbursed based on fraudulent invoices,A,"Audits are a structured review of the procurement process. Resulting audit observations should be brought to the attention of the buyer's project manager and the seller's representative for adjustments to the project, when necessary. Except for sharing the audit results with the vendor, all of the answer choices represent actions which are premature at this point. The vendor may have simply charged the invoices to the wrong account, or perhaps there is some legitimate justification for the charge that is not understood."
30,"A vendor did not perform as contracted, so you are withholding payment as stipulated by the contract. The vendor started using foul language and is calling you names. Your team members are furious, and some of them have responded similarly. Even though you are angry as well, you stay calm and handle the situation with respect. Which of the following have you demonstrated by responding to the situation in this way?",,Conducted yourself in a professional manner,Proved to be loyal to the vendor,Protected team members from the fight,Boosted team morale,A,"The PMI Code of Ethics and Professional Conduct describes the expectations that we have of ourselves and our fellow practitioners in the global project management community. It articulates the ideals to which we aspire as well as the behaviors that are mandatory in our professional and volunteer roles. There are four values identified as most important to the project management community; these are responsibility, respect, fairness, and honesty. Respect involves conducting ourselves in a professional manner, even when it is not reciprocated. Respect, along with the proper conflict management approach, is the primary behavior that was demonstrated in this scenario. In other words, you have conducted yourself in a professional manner."
31,You are leading a research and development project where knowledge in specific areas is essential to project success. You want to understand what knowledge your team possesses as a group and what knowledge is missing. What should you do?,,Review the resource breakdown structure,Examine the project knowledge register,Review the lessons learned repository,Check project management information system,A,"According to the scenario, you are performing the Manage Project Knowledge process. The resource breakdown structure is one of the inputs to this process. The resource breakdown structure is a hierarchical representation of resources by category and type. This document includes information on the composition of the team and may help understand what knowledge is available as a group and what knowledge is missing."
32,"A project manager is in the process of creating a document that formally authorizes a building renovation project. The renovation requires the removal of asbestos insulation, which is a known carcinogen. How might this situation influence the process currently underway?",,A contingency reserve needs to be assigned and recorded in the document,The document needs to include a detailed risk response plan for this identified risk,The document needs to incorporate compliance with any applicable government and industry,A detailed timeline for the removal of the asbestos should be included in the document,C,"The question implies that the project charter is the document that is under development since the project charter is the document issued by the project initiator or sponsor to formally authorize the existence of a project. The question indicates that the execution of the project requires the removal of asbestos insulation, which suggests that the project needs to adhere to stringent safety standards for the handling of a known carcinogen. Government and industry standards, which include safety standards, are enterprise environmental factors, which may influence the creation of the project charter. The incorrect answer choices contain details of the project, which are unlikely to be reflected in the project charter. Therefore, in this scenario, the project charter will need to incorporate compliance with any applicable government and industry standards."
33,"During one of the meetings toward the end of the first of four phases on your project, you report that the phase was delayed due to resource constraints. You mention that you identified this threat as a risk during project planning and then, during execution, successfully implemented the response planned for that risk. Which of the following should you update to ensure the information about this risk is available for review on future phases?",,Lesson learned repository,Project closure documents,Lessons learned register,Result transition document,C,"According to the scenario, you are in the Close Project or Phase process. Updates to project documents, such as the lessons learned register, are an output of this process. The project manager should ensure that all project documents are updated and marked as final version as a result of project or phase closure. The lessons learned register is finalized to include final information on phase closure. The final lessons learned register would include information on risk management, such as identified risks and effective risk response plans. In future phases, the lessons learned register is reviewed to determine whether similar risks might recur during the remainder of the project and how best to address those risks by implementing responses that successfully worked in previous phases."
34,"A project sponsor is reviewing a draft of a project charter, which was created by the project manager. The project sponsor notices that a key element is missing from the charter. Which of the following tasks might have the project manager overlooked during the pre-project work?",,Identification of detailed requirements,Identification of subjective project objectives,Identification of key deliverables,Development of a project scope statement,C,"The Project Management Professional (PMP)® Examination Content Outline contains a list of tasks for each domain, with which PMP aspirants are expected to be familiar. Task #2 of the initiating domain states, ""Identify key deliverables based on the business requirements in order to manage customer expectations and direct the achievement of project goals."" The identified key deliverables are then included as an element of the project charter, such as the new product, service, or result that the project is intended to satisfy. Of the available options, only key deliverables is an element of the project charter. Therefore, of the choices provided, it is reasonable to assume that identification of the key deliverables is what the project manager might have overlooked during the pre-project work."
