No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Hint,Explanation,Details for Answer A,Details for Answer B,Details for Answer C,Details for Answer D
11,Which of the following is not an input to the Plan Communications Management process?,,Stakeholder register,Enterprise environmental factors (EEFs),Performance reports,Organizational process assets (OPAs),C,The Plan Communications Management process is in the Planning Process Group. Correct Answer: C,"Plan Communications Management is the process of developing an appropriate approach and plan for project communication activities based on the information needs of each stakeholder or group, available organizational assets, and the needs of the project. The Plan Communications Management process has the following five inputs: ● Project charter ● Project management plan ● Project documents (e.g., stakeholder register) ● Enterprise environmental factors ● Organizational process assets ---",Stakeholder registerIncorrect. The stakeholder register is an example of project documents that serve as inputs to the Plan Communications Management process.,Enterprise environmental factors (EEFs)Incorrect. EEFs are inputs to the Plan Communications Management process.,"Performance reportsCorrect. Performance reports are not an input to the Plan Communications Management process; therefore, this answer is the correct.",Organizational process assets (OPAs)Incorrect. OPAs are inputs to the Plan Communications Management process.
12,Which of the following is not an input to the Develop Team process?,,Project team assignments,Issue log,Resource calendars,Resource management plan,B,"Develop Team is the process of improving the competencies, team interaction, and the overall team environment while Manage Team is the process of tracking team member performance, providing feedback, resolving issues, and managing team changes. Correct Answer: B","Develop Team is the process of improving competences, team member interaction, and overall team environment to enhance project performance. It has the following four inputs: ● Project management plan (resource management plan especially the team performance assessment criteria, as well as guidance on rewards, feedback, training, and disciplinary actions) ● Project documents (lessons learned register, project schedule, project team assignments, resource calendars, team charter) ● Enterprise envir",Project team assignmentsIncorrect. Project team assignments are included in the list of input project documents for the Develop Team process.,"Issue logCorrect. The issue log serves as an input project document for the Manage Team and Control Resources process, not the Develop Team process.",Resource calendarsIncorrect. Resource calendars are included in the list of input project documents for the Develop Team process.,Resource management planIncorrect. The resource management plan is a component of the project management plan that serves as an input when developing the team.
13,All of the following are inputs to the Close Project or Phase process except:,,Project charter,Benefits management plan,Enterprise environmental factors,Procurement documentation,C,"This input is used by most of the other processes, but not by the Close Project or Phase process. Correct Answer: C","Close Project or Phase is the process of finalizing all activities for the project, phase, or contract. The Close Project or Phase process has the following eight inputs: ● Project charter ● Project management plan ● Project documents ● Accepted deliverables ● Business documents ● Agreements ● Procurement documentation ● Organizational process assets ---","Project charterIncorrect. The project charter documents the project success criteria, the approval requirements, and who will sign off on the project. Therefore, the project charter is an input to the Close Project or Phase process.","Benefits management planIncorrect. The benefits management plan outlines the target benefits of the project and is used to measure whether the benefits of the project were achieved as planned. Therefore, the benefits management plan is an input to the Close Project or Phase process.","Enterprise environmental factorsCorrect. While enterprise environmental factors (EEFs) are inputs to numerous project management processes, they are not listed as inputs to the Close Project or Phase process in the PMBOK® Guide. Therefore, EEFs is the correct answer.","Procurement documentationIncorrect. The Close Project or Phase process includes confirmation that the contract closure has been done satisfactorily; therefore, procurement documentation is required as an input to this process."
14,All of the following are tools and techniques used in the Manage Project Knowledge process except:,,Facilitation,Political awareness,Brainstorming,Networking,C,Data gathering is not a tool or technique used in the Manage Project Knowledge process. Correct Answer: C,"The Manage Project Knowledge process has the following four tools and techniques: ● Expert judgment ● Knowledge management ● Information management ● Interpersonal and team skills (e.g., facilitation, networking, political awareness) Manage Project Knowledge is the process of using existing knowledge and creating new knowledge to achieve the project's objectives and contribute to organizational learning. ---",FacilitationIncorrect. Facilitation is an example of an interpersonal and team skill that helps effectively guide a group to a successful solution. Facilitation is a tool and technique used in the Manage Project Knowledge process.,Political awarenessIncorrect. Political awareness is an example of an interpersonal and team skill that helps the project manager plan communications based on the organization's political environment. Political awareness is a tool and technique used in the Manage Project Knowledge process.,"BrainstormingCorrect. Brainstorming is an example of a data gathering technique which is not one of the tools and techniques used in the Manage Project Knowledge process, and, therefore, the correct answer to the question asked.",NetworkingIncorrect. Networking is an example of an interpersonal and team skill that creates the conditions for stakeholders to share knowledge. Networking is a tool and technique used in the Manage Project Knowledge process.
15,"The Conduct Procurements process has six inputs, including: ● Project management plan ● Project documents ● Procurement documentation ● Enterprise environmental factors ● Organizational process assets Which of the following inputs is missing from the list?",,Procurement statement of work,Source selection criteria,Seller proposals,Project charter,C,"Two of the available options are examples of procurement documentation, and, therefore, are on the list in the question. Correct Answer: C","Conduct Procurements is the process of obtaining seller responses, selecting a seller, and awarding a contract. The Conduct Procurements process has the following six inputs: ● Project management plan ● Project documents --- ● Procurement documentation (e.g., source selection criteria, procurement statement of work) ● Seller proposals ● Enterprise environmental factors ● Organizational process assets","Procurement statement of workIncorrect. The procurement statement of work is an example of procurement documentation, an input to the Conduct Procurements process. Procurement documentation is on the list in the question; therefore, this answer is not correct.",Source selection criteriaIncorrect. Source selection criteria is an example of procurement documentation used as an input to the Conduct Procurements process. The list in the question contains procurement documentation.,Seller proposalsCorrect. Seller proposals are used to select the vendors that will be used on the project. Seller proposals are inputs to the Conduct Procurements process and are missing from the list in the question.,Project charterIncorrect. The project charter is not an input to the Conduct Procurements process.
16,Which of the following is not an input to the Plan Schedule Management process?,,Expert judgment,Scope management plan,Development approach,Project charter,A,One of the answers is a tool and technique. Correct Answer: A,"The Plan Schedule Management process has the following four inputs: ● Project charter ● Project management plan (e.g., scope management plan, development approach) ● Enterprise environmental factors ● Organizational process assets","Expert judgmentCorrect. Expert judgment is a tool and technique used in the Plan Schedule Management process, not an input to the process.","Scope management planIncorrect. The scope management plan is a component of the project management plan which describes how the scope will be defined and developed. How the scope is defined and developed will influence how the schedule is developed; therefore, the scope management plan is an input to the Plan Schedule Management process.","Development approachIncorrect. The product development approach will help define the scheduling approach, estimating techniques, and scheduling tools used during the Plan Schedule Management process. As a component of the project management plan, the development approach is an input to the process.","Project charterIncorrect. The project charter defines the summary milestone schedule that will influence the management of the project schedule, and is, therefore, an input to the Plan Schedule Management process."
17,Which of the following is a tool or technique used in the Perform Integrated Change Control process?,,Conflict management,Project management information system,Change requests,Multicriteria decision analysis,D,The Perform Integrated Change Control process involves deciding whether to approve changes to the project. Correct Answer: D,"Perform Integrated Change Control is the process of reviewing all change requests; approving changes and managing changes to deliverables, organizational process assets, project documents, and the project management plan; and communicating the decisions. The Perform Integrated Change Control process has the following five tools and techniques: ● Expert judgment ● Change control tools ● Data analysis ● Decision making (e.g., multicriteria decision analysis) ● Meetings ---","Conflict managementIncorrect. Conflict management is an example of the interpersonal and team skills tool and technique, which is not used in the Perform Integrated Change Control process.","Project management information systemIncorrect. The project management information system is a tool that is used in several processes; however, the Perform Integrated Change Control process is not one of them.","Change requestsIncorrect. Change requests are usually an input or an output, but not a tool or technique. In the Perform Integrated Change Control process, change requests are inputs to the process.","Multicriteria decision analysisCorrect. The decision-making tool and technique, of which multicriteria decision analysis is an example, is used in the Perform Integrated Change Control process. Multicriteria decision analysis uses a decision matrix to provide a systematic analytical approach to evaluate the requested changes according to a set of predefined criteria."
18,Which of the following is not an input to the Plan Risk Responses process?,,Risk register,Scope baseline,Stakeholder register,Cost baseline,B,Which answer has little or no effect on risk response planning? Correct Answer: B,"Plan Risk Responses is the process of developing options, selecting strategies, and agreeing on actions to address overall project risk exposure, as well as to treat individual project risks. This process has the following four inputs: ● Project management plan (including the risk management plan, the resource management plan, and the cost baseline) ● Project documents (including the lessons learned register, the project schedule, project team assignments, resource calendars, the risk register, ",Risk registerIncorrect. The risk register is an input to the Plan Risk Responses process that contains details of individual project risks that require risk responses.,Scope baselineCorrect. The scope baseline is not an input to the Plan Risk Responses process.,"Stakeholder registerIncorrect. The stakeholder register is an input to the Plan Risk Responses process, used to identify potential owners for risk responses.",Cost baselineIncorrect. The cost baseline is an input to the Plan Risk Responses process that contains information on the contingency fund allocated to respond to risks.
19,All of the following are inputs to the Manage Project Knowledge process except:,,Project charter,Lessons learned register,Deliverables,Project team assignments,A,Only one answer is never an input in the Executing Process Group. Correct Answer: A,"The Manage Project Knowledge process has the following five inputs: ● Project management plan ● Project documents (e.g., lessons learned register, project team assignments) ● Deliverables ● Enterprise environmental factors ● Organizational process assets The Manage Project Knowledge is the process of using existing knowledge and creating new knowledge to achieve the project's objectives and contribute to organizational learning./p> ---",Project charterCorrect. The project charter is not an input to the Manage Project Knowledge process.,Lessons learned registerIncorrect. The lessons learned register provides information on effective practices in knowledge management and is an input to the Manage Project Knowledge process.,DeliverablesIncorrect. Deliverables are typically tangible components completed to meet the project objectives and can include components of the project management plan. Deliverables are inputs to the Manage Project Knowledge process.,"Project team assignmentsIncorrect. Project team assignments provide information on the type of competencies and experience available in the project and the knowledge that may be missing. Therefore, project team assignments are inputs to the Manage Project Knowledge process."
20,Which of the following is not a tool or technique of the Estimate Activity Resources process?,,Analogous estimating,Parametric estimating,Three-point estimating,Bottom-up estimating,C,"Most estimating techniques create single-point estimates which are appropriate for not only human resources and discrete physical supplies, but also for activity durations and costs. Correct Answer: C","Estimate Activity Resources is the process of estimating team resources and the type and quantities of material, equipment, and supplies necessary to perform project work. This process has the following seven tools and techniques: ● Expert judgment ● Bottom-up estimating ● Analogous estimating ● Parametric estimating ● Data analysis ● Project management information systems (PMIS) ● Meetings --- Using a range to account for uncertainty and risk, the three-point estimating technique is used only t","Analogous estimatingIncorrect. Analogous estimating uses information from a previous similar project to forecast schedule activity durations, costs, and activity resources. It is a technique used in the Estimate Activity Resources process.","Parametric estimatingIncorrect. Parametric estimating uses an algorithm or statistical relationship between historical data and project parameters to forecast schedule activity durations, costs, and activity resources. It is a technique used in the Estimate Activity Resources process.","Three-point estimatingCorrect. Three-point estimating uses a triangular distribution or weighted beta distribution that averages the optimistic, pessimistic, and most likely estimates to forecast a range of schedule activity durations and costs, but not activity resources.","Bottom-up estimatingIncorrect. Bottom-up estimating breaks down the project to the detailed activity level then aggregates the estimates to forecast the schedule activity durations, costs, and activity resources for the work packages, control accounts, and summary project level. It is a technique used in the Estimate Activity Resources process."
21,Which of the following is a tool or technique of the Control Costs process?,,Project funding requirements,Communication methods,Project management plan,To-complete performance index,D,The Control Costs process enables monitoring the status of the project to update the project budget and managing changes to the cost baseline. Correct Answer: D,The Control Costs process has the following tools and techniques: ● Expert judgment ● Earned value management (EVM) ● Variance analysis ● Trend analysis ● Reserve analysis ● To-complete performance index (TCPI) ● Project management information systems --- Control Costs is the process of monitoring the status of the project to update the project costs and manage changes to the cost baseline.,Project funding requirementsIncorrect. Project funding requirements are not classified as a tool or technique used in the Control Costs process; they are inputs.,Communication methodsIncorrect. Communication methods are not tools and techniques used in the Control Costs process.,Project management planIncorrect. The project management plan is an input but not a tool or technique used in the Control Costs process.,To-complete performance indexCorrect. The to-complete performance index is a tool and technique used in the Control Costs process. The TCPI is used to forecast how reasonable the plans are to meet either the EAC or BAC.
22,"Which input of the Manage Stakeholder Engagement process describes the methods, formats, and technologies used to communicate with stakeholders?",,Work performance reports,Communications management plan,Lessons learned register,Stakeholder engagement plan,B,Which option provides comprehensive communications details? Correct Answer: B,"Manage Stakeholder Engagement is the process of communicating and working with stakeholders to meet their needs and expectations, address issues, and foster appropriate stakeholder involvement. The process has the following four inputs: ● Project management plan (including the communications management plan, stakeholder engagement plan, the risk management plan, the and the change management plan) ● Project documents (including the change log, the issue log, the lessons learned register, and the",Work performance reportsIncorrect. Work performance reports are not inputs of the Manage Stakeholder Engagement process.,"Communications management planCorrect. The communications management plan provides all the communications details for stakeholder engagement, including methods, formats, and technologies.","Lessons learned registerIncorrect. The lessons learned register is an input to the Manage Stakeholder Engagement process. Although the lessons learned register might contain information on improvements to stakeholder communications, the register does not contain all the details on communications methods, formats, and technologies.","Stakeholder engagement planIncorrect. The stakeholder engagement plan is an input to the Manage Stakeholder Engagement process. While the stakeholder engagement plan contains considerable information concerning stakeholder communications, the communications management plan contains the details on communications methods, formats, and technologies."
23,Which of the following statements is false?,,The Estimate Activity Durations process uses both decision-making techniques and,The Estimate Activity Durations process uses the following organizational process assets:,"The risk register provides a list of risks, the results of risk analysis, and risk response",The Estimate Activity Durations process can produce updates to the activity attributes.,B,Look for an enterprise environmental factor that is being improperly identified. Correct Answer: B,"The Estimate Activity Durations process has the following four inputs: ● Project management plan ● Project documents ● Enterprise environmental factors (e.g., published commercial information) ● Organizational process assets (e.g., historical information, scheduling methodology) It is in this process that the number of work periods needed to complete individual activities with the estimated resources is estimated. ---",The Estimate Activity Durations process uses both decision-making techniques andreserve analysis to estimate durations. Incorrect. This statement is true. Both decision-making techniques and reserve analysis are used as tools and techniques in the Estimate Activity Durations process.,"The Estimate Activity Durations process uses the following organizational process assets:historical duration information, scheduling methodology, and published commercial information. Correct. This statement is false. While historical duration information and scheduling methodology are examples of organizational process assets, published commercial information is an example of enterprise environme","The risk register provides a list of risks, the results of risk analysis, and risk responseplanning to the Estimate Activity Durations process as inputs. Incorrect. This statement is true. A list of risks, the results of risk analysis and risk response planning is provided by the risk register as an input to the Estimate Activity Durations process.",The Estimate Activity Durations process can produce updates to the activity attributes.Incorrect. This statement is true. The activity attributes may be updated as a result of estimating activity durations and are outputs of the Estimate Activity Durations process.
24,Which of the following is not a tool or technique used in the Plan Schedule Management process?,,Alternatives analysis,Meetings,Expert judgment,Multicriteria decision analysis,D,Data analysis is one of the tools and techniques used in the Plan Schedule Management process. Correct Answer: D,"The Plan Schedule Management process has the following three tools and techniques: ● Expert judgment ● Data analysis (e.g., alternatives analysis) ● Meetings","Alternatives analysisIncorrect. Alternatives analysis is a data analysis technique that can be used in the Plan Schedule Management process for determining which schedule methodology to use, how detailed the schedule needs to be, or the duration of waves for rolling wave planning. Therefore, alternatives analysis is not the correct answer.","MeetingsIncorrect. Project teams may hold planning meetings to develop the schedule management plan. Therefore, it is true that meetings 'are' a tool or technique used in the Plan Schedule Management process.","Expert judgmentIncorrect. Expertise from individuals with specialized knowledge in schedule development, scheduling methodologies, and scheduling software should be considered during the Plan Schedule Management process. Therefore, expert judgment is a tool and technique used in the process and is not the correct answer.",Multicriteria decision analysisCorrect. Multicriteria decision analysis is an example of a decision-making tool and technique. The PMBOK® Guide does not include decision-making as a tool and technique used in the Plan Schedule Management process making this option the best answer to the question asked.
25,Which of the following is a tool and technique of the Perform Qualitative Risk Analysis process?,,Probability and impact matrix,Reserve analysis,Strategies for threats,Schedule network analysis,A,Perform Qualitative Risk Analysis is the process of prioritizing risks for further analysis or action by assessing and combining their probability of occurrence and impact. Correct Answer: A,"Perform Qualitative Risk Analysis is the process of prioritizing individual project risks for further analysis or action by assessing their probability of occurrence and impact as well as other characteristics. This process has seven tools and techniques: ● Expert judgment ● Data gathering ● Data analysis ● Interpersonal and team skills ● Risk categorization ● Data representation (e.g., probability and impact matrix) ● Meetings ---",Probability and impact matrixCorrect. The probability and impact matrix is a tool used in the Perform Qualitative Risk Analysis process to assess the priority of individual risks.,Reserve analysisIncorrect. Reserve analysis is not a tool or technique of the Perform Qualitative Risk Analysis process. It is a technique used in the Estimate Costs and Determine Budget processes to estimate contingency and management reserves. It is also used during the Control Costs and Monitor Risks processes to monitor reserves and ensure that they are adequate for the remaining risks. Additi,"Strategies for threatsIncorrect. Strategies for threats is a tool used in the Plan Risk Responses process to provide options for dealing with threats. These strategies include escalation, avoidance, and mitigation. These strategies are not tools or techniques of the Perform Qualitative Risk Analysis process.",Schedule network analysisIncorrect. Schedule network analysis is a technique used during the Develop Schedule process to generate the project schedule model. Schedule network analysis is not a tool or technique of the Perform Qualitative Risk Analysis process.
26,"The Sequence Activities process has four tools and techniques, including: ● Precedence diagramming method (PDM) ● Dependency determination and integration ● Project management information system Which of the following tools and techniques is missing from the list?",,Expert judgment,Project schedule network diagrams,Published estimating data,Leads and lags,D,Sequence Activities is the process of identifying and documenting relationships among the project activities. Correct Answer: D,The Sequence Activities process has the following four tools and techniques: ● Precedence diagramming method (PDM) ● Dependency determination and integration ● Leads and lags --- ● Project management information system This process is where the relationships among the project activities is identified and documented.,"Expert judgmentIncorrect. While expert judgment is a tool and technique for numerous project management processes, it is not listed as a tool and technique for the Sequence Activities process in the PMBOK® Guide. Therefore, expert judgment is an incorrect answer.","Project schedule network diagramsIncorrect. Project schedule network diagrams are outputs of the Sequence Activities process, not a tool and technique.","Published estimating dataIncorrect. Published estimating data is an example of enterprise environmental factors, which are inputs, not a tool and technique.",Leads and lagsCorrect. A lead is the amount of time a successor activity can be advanced with respect to a predecessor activity. A lag is the amount of time a successor activity will be delayed with respect to a predecessor activity. Leads and lags are techniques used in the Sequence Activities process.
27,There was a delay in the delivery of materials and equipment that have been purchased from a supplier. Where should you look for guidance on resolving this issue?,,Resource management plan and procurement contracts,Resource requirements and policies for resource control,Issue escalation procedures and project schedule,Work performance data and lessons learned repository,A,What answer choice describes inputs to the Control Resources process that would guide you in resolving supplier issues? Correct Answer: A,"The scenario suggests you are performing the Control Resources process. Control Resources is the process of ensuring that the physical resources assigned and allocated to the project are available as planned, as well as monitoring the planned versus actual utilization of resources and taking actions as necessary. While all answer choices can be valid inputs to the Control --- Resources process, only the resource management plan and procurement contracts specify actions that should be taken while",Resource management plan and procurement contractsCorrect. Procurement contracts are agreements that may define options for resolving issues with specific sellers. The resource management plan usually has resource control guidance on ensuring adequate physical resources are available as needed.,"Resource requirements and policies for resource controlIncorrect. While policies for resource control are organizational process assets that may provide guidance for resolving issues with suppliers, resource requirements only identify the needed resources and no guidance for how to address supplier's delays in the delivery of materials and equipment.","Issue escalation procedures and project scheduleIncorrect. Escalation procedures are organizational process assets that may provide guidance for controlling resources activity. However, the project schedule would only show when resources are needed at what locations but does not provide the appropriate guidance for the issue in question.","Work performance data and lessons learned repositoryIncorrect. Both work performance information and the lessons learned repository are valid inputs to the Control Resource process described in the scenario. While the lessons learned repository may have information on how issues with suppliers have been addressed in past projects, work performance data contains not contextualized data on project s"
