No,Question,Image_URL,Answer A,Answer B,Answer C,Answer D,Correct Answer,Explanation
11,"A project has been in execution for several months, and project communications have been sent out regularly. During a meeting with the customer, some of the stakeholders indicate they have not received the most recent performance report, which is supposed to be sent out every two weeks. What should the project manager do first?",,Document the issue in the issue log,Update the lessons learned register,Review the communications management plan,Update the change log,A,"An issue is a current condition or situation that may have an impact on the project objectives. A project performance report that has not been received by some of the project stakeholders as scheduled is an issue and should be documented in the issue log. The issue log is a project document where all problems encountered during a project are recorded and tracked. The scenario suggests the project is in the Manage Communications process. Updates to the issue log are among the outputs of the Manage Communications process. By adding the issue to the issue log, the project manager can effectively manage the issue so that it can be documented, tracked, and eventually resolved. All the other answer choices may be suitable responses 'after' the issue is recorded in the issue log, but the first thing the project manager should do is update the issue log."
12,"You are managing the development of a new user interface. You have produced the first interim deliverable for the project, which is currently being evaluated by the quality control department. Last weekend, at the company barbecue, you spoke with several business development executives and asked them what they thought about the interim deliverable. They shared how they were satisfied with the deliverable and were pleased with the project's progress. What best describes what you have done?",,Scope validation,Verification of the interim deliverable,Managing quality,Monitoring stakeholder engagement,D,"Maintaining stakeholder relationships and understanding stakeholders' perceptions of the project's progress is accomplished in the Monitor Stakeholder Engagement process. Monitor Stakeholder Engagement is the process of monitoring project stakeholder relationships and tailoring strategies for engaging stakeholders through modification of engagement strategies and plans. Meetings, either formal or informal, can be used as a tool in the Monitor Stakeholder Engagement process. In this scenario, you have had simple conversations with the stakeholders, revealing their attitudes about the project and its progress."
13,You are managing a site excavation project with an aggressive schedule. You have just received approval for the project management plan. Which process are you least likely to perform next?,,Execution of the communications management plan,Selection of the vendors that will produce project deliverables,Validation of the project deliverables,Acquisition of the necessary project resources,C,"The Project Management Professional (PMP)® Examination Content Outline contains a detailed list of tasks for each domain, with which PMP aspirants are expected to be familiar. Task #11 of the planning domain states, ""Present the project management plan to the relevant stakeholders according to applicable policies and procedures in order to obtain approval to proceed with project execution."" Validation of the project deliverables takes place when the Validate Scope process is carried out. The Validate Scope process is part of the Monitoring and Controlling Process Group. Since the project management plan has just been approved, proceeding with project execution rather than with monitoring and controlling makes the more sense. Execution of the communications management plan, selection of the vendors that will produce project deliverables, and acquisition of the necessary project resources are all activities that belong to the processes of the Executing Process Group. Only validation of the project deliverables belongs to the Monitoring and Controlling Process Group, making that choice the best answer to the question asked."
14,"A project manager is leading a product development project, which will use an agile framework. The project team and other stakeholders are co-located at the company's corporate office. What is the best way for the project manager to communicate the project status and promote transparency?",,Reserve a conference room and invite all relevant stakeholders to monthly project status,Post burndown charts and other project status documents to the company's intranet site,Share the appropriate information whenever requested by stakeholders,Display burndown charts and other relevant project artifacts in a highly visible location,D,"Agile best practices promote transparency. Displaying burndown charts and other relevant project information in a highly visible location promotes transparency as current information regarding project status is readily available to everyone. All of the answer choices represent actions that should be taken by the project manager. The PMP aspirant should select the 'best' answer among the available options. With the project team and stakeholders co-located at the corporate office, posting the project status in a highly visible location will make current information readily available to everyone. Note that the incorrect answer choices all represent an action that must be taken by the stakeholders in order to retrieve the information rather than having the information proactively presented to them. The correct answer choice describes an agile best practice. Therefore, of the available options, displaying burndown charts and other relevant project artifacts in a highly visible location is the 'best' answer to the question asked."
15,You are concerned that too many quality audits drove the project costs beyond the planned value. To which cost group would you categorize these audits?,,"Cost of nonconformance, prevention costs","Cost of conformance, failure costs","Cost of nonconformance, cost-benefit costs","Cost of conformance, appraisal costs",D,"The cost of quality is divided into the cost of conformance where money is spent during the project to avoid failures and, the cost of nonconformance where money is spent during and after the project because of failures. Appraisal costs are a cost of conformance that is related to evaluation, measuring, auditing, and testing the product or service of the project. Quality audits, often performed during the Manage Quality process, identify project processes that have gaps or shortcomings and are, therefore, considered an appraisal cost and part of the cost of conformance."
16,"A new director of business development has just been hired. Recent focus groups revealed several promising concepts he is interested in pursuing. But first, he needs to know what projects are in progress to determine what his involvement should be. The director requests the project managers in each office send him high-level information on authorized and currently active projects. What document would best fulfill the director's request?",,Approved business case,Approved project register,Approved project management plan,Approved project charter,D,"When a scenario mentions 'high level,' you should be thinking project charter because it is the document that contains high-level information about the project. In this case, of the choices provided, the only answer choice that would provide high-level project information is the approved project charter. By reviewing the approved project charters, the director would have an understanding of the key deliverables, milestones, and the role and responsibilities of stakeholders. He can use the approved project charter to help determine his own role in the projects."
17,"A company is considering two projects, project A with the internal rate of return (IRR) of 25% and project B with the IRR of 15%. Which project should the company select and why?",,Project B because a lower IRR represents lower costs,Project A because it has a higher IRR,Project B because a lower IRR represents a shorter payback period,"Project A because letter ""A"" comes before ""B""",B,"The internal rate of return (IRR) is the interest rate at which the cash inflow and cash outflow of the project equal zero. The IRR can be an important metric for benefits analysis. The PMP exam will not likely ask you to calculate the IRR. However, two important concepts should be understood for the exam. First, a positive IRR means a positive rate of return. Second, all other things being equal or no other details are provided, a project with a higher IRR is typically selected over a project with a lower IRR. In the scenario described, the company should select project A with the IRR of 25% over project B with the IRR of 15%. While the topic of this question is just briefly mentioned in the PMBOK® Guide, the Project Management Professional (PMP)® Examination Content Outline, June 2015, covers knowledge and skills with which PMP aspirants are expected to be familiar. Project finance principles are among these knowledge and skills."
18,A project sponsor is developing the project charter. She understands that the project would have to take into consideration conditions that are not under the immediate control of the project team. Which of the following is an example of such conditions?,,Project monitoring and reporting methods,An approved template of a project charter,Legislation on overtime pay for the project team,Historical information and lessons learned repository,C,"The question describes enterprise environmental factors (EEFs), which are conditions, not under the immediate control of the team, that influence, constrain, or direct the project. These conditions can be internal and/or external to the performing organization. EEFs are one of the inputs to the Develop Project Charter process. The legislation, which imposes overtime pay is an example of a legal requirement which is not under the immediate control of the project team and is external to the organization. The incorrect answer choices represent organizational process assets. Among the available options, only the legislation that may impose overtime pay for the project team represents a constraint that is considered an enterprise environmental factor."
19,"The total budget for the project is $50 million, and the actual costs so far are $40 million. The project has a CPI of 0.92 and the SPI of 0.80. What is the estimate at completion that considers both the cost and schedule performance?",,$54.35 million,$57.94 million,$53.20 million,$17.93 million,B,"In this scenario, the project work that is remaining to be completed is impacted by the fact that there is no flexibility in the project schedule. The completion date must be met. One needs to use a formula for the EAC that considers both the SPI and the CPI. This formula is EAC = AC + [(BAC - EV) / (CPI x SPI)]. The EV is not provided and therefore has to be obtained using the formula CPI = EV / AC. The details of the calculation are below: EV = AC x CPI = 40 x 0.92 = 36.8 EAC = AC + [(BAC - EV) / (CPI x SPI)] = 40 + [(50 – 36.8) / (0.92 x 0.8)]= 40 + [13.2 / 0.736] = 40 + 17.94 = 57.94"
20,"Increased latency in transaction times was an identified risk for a software upgrade project. While monitoring project risks, the project team performs some data analysis and discovers that the latency issues have resulted in average transaction times of 37 minutes versus a target of 12 minutes. What data analysis tool or technique has the project team most likely utilized?",,Monte Carlo simulation,Multicriteria decision analysis,Technical performance analysis,Perform Quantitative Risk Analysis,C,"The scenario implies the team is carrying out the Monitor Risks process. Technical performance analysis is an example of the data analysis tools and techniques that can be used as part of this process. Technical performance analysis compares technical accomplishments during project execution to the schedule of technical achievement. It requires the definition of objective, quantifiable measures of technical performance, which can be used to compare actual results against targets. Such technical performance measures may include weight, transaction times, number of delivered defects, storage capacity, etc. A deviation can indicate the potential impact of threats and opportunities. Of the choices provided, based on the circumstances described by the scenario, technical performance analysis is the most likely tool the project team has utilized. Note, while ""latency in transaction times"" may sound like an unfamiliar term, no technical knowledge is required to answer this question correctly."
21,You are working with your project team to obtain administrative closure of a project. The project was performed exclusively with internal resources provided by the functional leaders. Which of the following is most likely to be the last action taken in this scenario?,,Conducting a survey to measure stakeholder satisfaction,Finalizing open claims,Transferring the final product to operations,Releasing the project team,D,"Although some of the project team members may be released before the project has been closed, some of the project team must remain to perform the activities associated with the administrative closure of the project. Even if only the project manager remains on the project, the project manager is considered a member of the project team. Note, the PMBOK® Guide does not specify the order in which activities are performed during the Close Project or Phase process. However, it makes sense that the project team cannot be released until all other activities associated with the administrative closure of the project have been completed. Hence, of the available choices, releasing the project team is the last action that should be taken and is, therefore, the best answer to the question asked."
22,"You are leading a project to build ten new houses. This project is the second such for the company. The previous project came in on budget and schedule. You have been provided the cost per square foot per home. The same team from the previous project will be working at the same salary rate on your project. Based on the information you have, which of the following is the most appropriate cost estimating tool or technique to use in this scenario?",,Three-point estimating,Vendor bid analysis,Analogous estimating,Parametric estimating,D,"Based on the information provided, you are performing Estimate Costs process. You have access to the salary of your project team, historical data from the previous similar project, and information about some of the parameters of your current project. Parametric estimating uses a statistical relationship between relevant historical data and other variables. For example, construction projects can use square footage as a parameter. Therefore, parametric estimating, unlike the other answer choices, is the most appropriate tool to use given the information provided. Three-point estimating uses a formula that considers three uncertainty and risk factors in the estimation: most likely, optimistic, and pessimistic. Analogous estimating could also be used in this scenario, but it is generally used in the absence of current or new information. Vendor bid analysis involves estimating costs based on bids from multiple vendors."
23,"A project manager is nearing the end of a product development project for a large consumer goods manufacturer. Several vendors produced key deliverables for the project, and there are no open claims. The project manager is now carrying out all of the activities associated with project closure and is following all project management best practices. Which of the following tasks should the project manager perform?",,Close procurements with the vendors,Formally sign off the project deliverables,Update the enterprise environmental factors,Update the organizational process assets,D,"The question indicates that the Close Project or Phase process is underway. During project closure, the organizational process assets are updated to include finalized project documents, operational and support documents, project or phase closure documents, and the lessons learned repository. Therefore, of the available choices, updating the organizational process assets is the best answer to the question asked."
24,You are managing a project that encounters many changes. A stakeholder approaches you asking about the status of a change request that they have recently submitted. What is your best course of action to address the stakeholder's inquiry?,,Consult the project change management plan,Ask the stakeholder to read the latest project status report,Consult the project change log,Send the stakeholder to talk to the project team,C,"A change log is a project document that contains information about changes that occur during the project. The change log is updated as new information about a change request becomes available. For example, if a change request has been approved (or rejected) by the change control board, the status of this change request should be updated accordingly. It is the project manager's responsibility to make sure that the information in the change log is up-to-date and communicated to the stakeholders. Therefore, when asked about the status of a change request, the project manager should consult the change log and communicate the status to the stakeholder."
25,A project manager is leading a software upgrade project and is just starting the Plan Stakeholder Engagement process. The newest member of the team has limited experience working on projects and wants to understand the process carried out by the project manager. How should the project manager respond to the team member?,,"Communicating with stakeholders to meet their needs, address issues, and foster their","Identifying stakeholders and analyzing their interests, influence, and potential impact on",Monitoring stakeholder relationships and engaging them through the modification of,Developing approaches to involve stakeholders based on their needs and potential impact,D,"Plan Stakeholder Engagement is the process of developing approaches to involve project stakeholders, based on their needs, expectations, interests, and potential impact on the project. The incorrect answer choices are the definitions of the other project management processes involving stakeholders."
26,You are performing activities necessary to close out the second phase of a multi-phase project. The project documents of this phase indicate that the planned risk responses to several of the realized risks were found to be ineffective. What should you do next before moving to the next phase of your project?,,Increase the management reserves allocated to the third phase,Update the risk management plan for the third phase,Submit a change request to update the lessons learned register,Transfer the knowledge gained to the lessons learned repository,D,"The question implies that the Close Project or Phase process of the second phase of the project is being carried out. The lessons learned register is a project document used to record knowledge gained during a project (or phase) so that it can be used in the current project and entered into the lessons learned repository at the end of the project or phase. The question indicates that the knowledge gained came from the project documents of the current phase, which suggests that the knowledge was previously captured in the lessons learned register. As part of the Close Project or Phase process, the information from the lessons learned register should be transferred to the lessons learned repository which is what you should do before moving to the next phase of your project."
27,A project sponsor creates a draft of the project charter and asks you to complete its development and lead the project. What should you do next?,,Gather information from stakeholders to document high-level details on the project,Determine whether the expected outcomes of the project justify the required investment,"Create a document that describes how the project will be executed, monitored, controlled,",Develop a document that describes how and when the benefits of the project will be,A,"You are requested by the project sponsor to complete the development of the project charter and to lead the project. This implies you have been assigned as a project manager (even though the project charter has not yet been approved). Since you have been assigned to the project, it has been determined that the project will contribute to the company's business goals. The next step would be chartering the project. The project charter is the document that formally authorizes the project manager to apply organizational resources to project activities and is an essential document for project success. Gathering data from stakeholders to obtain information on high- level requirements, assumptions, constraints, approval criteria, and other information is one of the techniques used when developing the project charter and therefore, the next thing you should do."
28,"Your project to produce a new vending machine is almost over, and you are now in the process of handing over the product to the operations team. You are meeting with the company president who initiated the project and with operations senior managers to demonstrate the vending machine functionality. Which of the following is most important for you to achieve when meeting with these individuals?",,Understanding of the specific features of the vending machine,Confirming the formal acceptance of the vending machine,Getting support from operations management,Being recognized for project completion,B,"The question implies you are in the Close Project or Phase process. One of the activities associated with this process is to confirm the delivery and formal acceptance of the project deliverables from the relevant project stakeholders. In this case, the project has been initiated by the company president. Therefore, of the choices provided, obtaining final formal acceptance of the project deliverables is what you should achieve when meeting with the president and operations management. Note, the final acceptance should be obtained from the president and not from the operations management. However, as we frequently mention, the correct answer is not always the ideal answer that you would like to see among the choices available. For an answer to be correct, it should be just a little better than the others."
29,"You have developed a project schedule, but the project completion date falls beyond the deadline defined by the project sponsor. You explained this situation to the sponsor and asked them to provide you with additional funds to bring in more people, but the sponsor refused. What can you do to shorten the project duration?",,Crash the project,Fast track the project,Apply resource leveling,Do nothing,B,"Fast tracking is a schedule compression technique that can be used during the Develop Schedule process. In this technique, activities on the critical path that were planned to be performed sequentially are performed in parallel for some or all of their duration, thus shortening the overall project length. While no additional resources are required while applying fast tracking, the project manager should be aware that fast tracking may result in rework and an increased risk."
30,"The project management plan and the performance measurement baseline have been approved. As you monitor the project's progress, you realize the approved budget is limiting the project and will affect the targeted completion date. This constraint could affect the company's success in the new venture. What is your best course of action?",,Use the contingency reserves,Use the management reserves,Cut costs on the project to stay within the budget,Ask for a change in the budget,D,"As the project manager, you are ultimately responsible for the project as a whole and its success. You are also the one that has the overall view of the project. The scenario suggests the project budget is limiting the project's ability to meet the targeted completion date. While staying within budget is one of your responsibilities, you also need to make integrated decisions and act to ensure the project's objectives are met and remains aligned with the business plan and the benefits management plan. By deciding to ask for a budget increase so that the completion date can be met, rather than trying to cut costs to stay within the budget, you are contributing toward a successful launch into a new area of retail, which is one of the company's strategic goals. Obviously, an approved change request will be required to change the project budget."
31,You have just completed the Collect Requirements process with a group of senior executives and your team. You begin developing the scope statement and realize that you need more clarification on a specific component of the deliverable. What document should you reference to find the person who requested the specific component?,,Stakeholder engagement assessment matrix,Responsibility assignment matrix (RAM),RACI chart,Requirements traceability matrix,D,"Part of the Collect Requirements process is to link product requirements from their origin (including the person who requested the requirement) to the deliverables that satisfy them. Attributes, including source, associated with each requirement are recorded in the requirements traceability matrix. You may need to contact the person (or source) who requested the requirement to clarify the specifications for the scope statement, as in this scenario, but also in cases where the stakeholder should be informed a deliverable they expected may need to be eliminated, changed or delayed."
32,"A project management plan has been approved, and the project is now in execution. The project manager would like to communicate project status to the stakeholders. Which of the following should the project manager send to stakeholders to achieve her immediate goal?",,Work performance report,Work performance data,Communications management plan,Project management plan,A,"Project reporting is the act of collecting and distributing project information. Project information is distributed to various groups of stakeholders and should be in a form to provide information at an appropriate level, detail, and format for the stakeholders. Work performance reports are the physical or electronic representation of work performance information compiled in project documents, intended to generate decisions, actions, or awareness. Work performance reports would allow the project manager to communicate the project status to the stakeholders."
33,"The project team that you are managing is entirely virtual and distributed all over the country. You know that as the project progresses, your team will learn things and gather more information about the project. You would like to ensure all that knowledge and information does not get lost. By managing project knowledge, you can improve current project outcomes as well as support future projects. Which of the following will you need to remember when managing knowledge on this project?",,Managing project knowledge only involves documenting information so it can be shared.,Managing project knowledge only involves obtaining lessons learned.,Explicit knowledge can be easily shared but isn't always understood correctly.,Tacit knowledge is easy to organize and index.,C,"Knowledge is commonly split into two forms. Tacit knowledge is personal and hard to express. It involves the collective know-how, techniques, and expertise gained from one's experiences. Tacit knowledge is difficult to organize and is typically shared through conversations and interactions between people. Explicit knowledge can be expressed in words, numbers, and symbols and therefore can be easily documented and shared. However, explicit knowledge lacks context and is open to different interpretations making it been easily misunderstood. You need to remember this drawback of using only explicit knowledge in order to effectively manage knowledge on this project. You need to take actions, such as building an atmosphere of trust so that people are motivated to share their knowledge, to reduce the risk of relying only on explicit knowledge."
34,"You are managing a project to produce new smartwatches. Several inspections have been conducted during the manufacturing process, and defects of various types have been detected. You want to document these defects in a way that will specify how many defects of each type were found per inspection. Which tool is the best to use in this situation?",,Control charts,Check sheets,Scatter diagrams,Pareto diagrams,B,"The scenario suggests you are performing the Control Quality process. Check sheets are an example of a data gathering techniques that can be used as part of this process. A check sheet can be used to gather data, such as quality problems uncovered during inspections, as well as to document how often a particular defect occurs. Check sheets can be used to organize facts in a manner that facilitate the effective collection of data about a potential quality problem. A check sheet can be in the form of a matrix where rows represent various types of defects, and columns represent inspections conducted on different days. This description accurately addresses the question asked, making check sheets the best tool to use in the situation presented in the scenario."
35,You have just been assigned to a new project which will begin in the near future. The project sponsor has informed you that this project will require rigorous change control. When will you develop the change management plan?,,Along with the processes of the Initiating Process Group,As part of the Develop Project Management Plan process,As an output of the Plan Change Management process,During the Perform Integrated Change Control process,B,"The change management plan is a component of the project management plan that establishes the change control board, documents the extent of its authority, and describes how the change control system will be implemented. Most components of the project management plan are produced as the output from other processes, but the change management plan is created as part of the Develop Project Management Plan process."
36,A project manager has just completed the development of the project management plan and now needs the plan to be reviewed and signed off by the key stakeholders. What should the project manager do to find the names of these individuals?,,Check the lessons learned repository,Review project documents,Contact the human resources department,Ask the project sponsor,B,"Ideally, the correct answer could have been worded as, “Review the stakeholder register.” However, this option is not provided. Instead, a wider term, ‘project documents’, is used. Project documents are not part of the project management plan; however, along with the project management plan, they are necessary to manage the project effectively. The stakeholder register is among the project documents. It should have been created as part of the Identify Stakeholders process during project initiation. The stakeholder register is a project document which includes the identification, assessment, and classification of project stakeholders. Since, according to the scenario described, the functional leaders are involved in the project, they are considered project stakeholders. Thus, the stakeholder register should list the names of the project sponsor and functional leaders. Therefore, to find the names of those relevant stakeholders that need to be invited to the meeting, the project manager should review the project documents."
37,"A project manager is provided a fixed budget, but the cost estimates for the equipment required for the project were 30% higher than expected. What would be the best technique to find alternatives that can be presented to the project sponsors for consideration to lower the cost and meet their budget?",,Plan cost management,Value engineering,Fishbone diagram,Basis of estimates,B,"As the project manager, you look for ways to optimize the value of the project, especially working with cost constraints. Value engineering (also known as value analysis) is an example of product analysis, a technique used in the Define Scope process, which is described in the question. Value engineering is a way to look in-depth at all project elements (in this case, equipment) to improve cost efficiencies without loss of performance. Two of the answer choices, the plan cost management and the basis of estimates, can be eliminated because they are not techniques. Fishbone diagram can be eliminated because the technique focuses on the root causes of a problem and does not assess the value of individual elements of a project. Therefore, of the choices provided, value engineering is considered the best answer to the question asked."
38,"You are finalizing your project. As you start this process, you need to gain a clear understanding of the project's approval requirements and who will sign off on the project. What should you do to find this information?",,Review the project charter,Check the business case,Consult the benefits management plan,Review the responsibility assignment matrix (RAM),A,"The Close Project or Phase is the process described in the question. The project charter is one of the inputs used in the Close Project or Phase process. The project charter documents the project success criteria, the approval requirements, and who will sign off on the project. The project charter is the document that is most useful in this scenario, and reviewing this document is what you should do."
