No,Question,Answer A,Answer B,Answer C,Answer D,Correct Answer,Hint,Explanation,Details for Answer A,Details for Answer B,Details for Answer C,Details for Answer D
11,"As the project manager in your company, you have contacted the Project Management Office requesting their help in reviewing the results of the latest round of tests on the project's product. They look through the tests and make note of how frequently the tests were carried out to determine whether the team completed the required number of tests and followed proper procedures defined in the quality management plan. What is being described here?",The PMO is performing the Control Quality process,The PMO is using statistical sampling,The PMO is performing inspection,The PMO is performing a quality audit,D,"What is the structured, independent process used to determine if project activities comply with organizational and project policies, processes, and procedures?","Quality audits are one of the tools and techniques used in the Manage Quality process. An audit is a structured, independent process used to determine if project activities comply with organizational and project policies, processes, and procedures. A quality audit is usually conducted by a team external to the project, such as the organization’s internal audit department, PMO, or by an auditor external to the organization. In this scenario, the PMO office is reviewing the product test results to","The PMO is performing the Control Quality processIncorrect. Making sure the proper procedures took place is most closely aligned with a quality audit, which is a tool or technique of the Manage Quality process. If they had been focusing on comparing the actual test results with the acceptance criteria, then Control Quality would be correct.","The PMO is using statistical samplingIncorrect. Statistical sampling is a tool and technique used in the Control Quality process to measure controls and verify quality. In this scenario the PMO is more concerned with the frequency of tests than the actual test results and ensuring that the processes or procedures defined in the quality management plan have been followed, a process most closely ali","The PMO is performing inspectionIncorrect. This may have looked like a good answer since inspections can also be referred to as audits. However, inspections are typically less formal and performed by the project team, not an external source, with an emphasis on verifying defect repairs and a product’s conformance to documented standards.","The PMO is performing a quality auditCorrect. The actions described in the question are most closely aligned with a quality audit. Since quality audits are often performed by someone external to the project, as it was in this scenario, this is a strong hint that quality audit was the correct answer."
12,"A_change request to repair a defect was submitted to the change control board (CCB) several days ago, but the project manager has not been informed of the decision. She wants to implement the change urgently to avoid schedule delays. What should the project manager do next?",Check the change log,Review the issue log,Ask a member of the CCB,Implement the change,A,Which project document contains the status of all change requests?,"The question indicates that the project manager needs to know the status of a change request before performing a defect repair. Approved change requests are implemented through the Direct and Manage Project Work process. The change log is the input to the Direct and Manage Project Work process which contains the status of all change requests. Of the available choices, the project manager should next check the change log to see if the change request was approved. Ideally, the question should have",Check the change logCorrect. The change log contains the status of all change requests. The project manager should check the change log to see if the change request was approved.,Review the issue logIncorrect. The issue log is a project document where information about issues encountered throughout the life cycle of a project is recorded and monitored. The issue log is not likely to have information regarding the status of the change request.,"Ask a member of the CCBIncorrect. A member of the CCB may or may not remember the decision reached on a particular change request on a particular project. Even if the individual is aware of the change request status, asking for assistance is not the best use of time. The project manager should use the resources that are readily available to obtain the needed information.",Implement the changeIncorrect. Implementing the change without knowing if it has been approved goes against project management best practices and likely against the change control procedures established or the project.
13,"The contingency reserves in the project you are leading were initially set at $200,000. You perform an analysis every month to track the remaining reserve funds. After the first month, you determine that there is $190,000 of the original contingency reserves remaining. The second month shows $175,000, and the third month indicates $155,000. You now need to communicate this information to stakeholders in conformance with the communications management plan. What should you do next?",Capture the data in a burndown chart,Use a tornado diagram to display the reserve information,Utilize a Gantt chart to share with stakeholders,Update the RACI chart with the remaining reserves,A,What type of chart displays reserves remaining over time?,"The question describes reserve analysis, which is performed during the Monitor Risks process. A reserve burndown chart is a graphical representation of the reserves remaining over time. The reserve burndown chart is a common method of capturing reserve information for communication to stakeholders. Once the reserve data has been collected, the next logical step is to capture the information in a burndown chart to share with stakeholders. ---",Capture the data in a burndown chartCorrect. A reserve burndown chart is a graphical representation of the reserves remaining over time and is a common method of capturing reserve information for communication to stakeholders.,Use a tornado diagram to display the reserve informationIncorrect. A tornado diagram is a special type of bar chart used in sensitivity analysis for comparing the relative importance of the variables but is not typically used to communicate the status of reserve analysis.,"Utilize a Gantt chart to share with stakeholdersIncorrect. A Gantt chart is a bar chart of schedule information. However, the question is asking about representing reserve information rather than schedule information.","Update the RACI chart with the remaining reservesIncorrect. RACI chart is a common type of responsibility assignment matrix, but it is not used to capture reserve information."
14,"A_project charter has been approved, and the project manager has just completed the Identify Stakeholders process. Before project planning begins, what should the project manager do?",Conduct stakeholder analysis,Hold a project kick-off meeting,Inform the key stakeholders of the approved project charter,Perform the Plan Stakeholder Engagement process,C,Garner support for and ensure a common understanding of the project.,"Once the project charter has been approved, the project manager should inform the key stakeholders that the project has received authorization. Informing stakeholders of the approved project charter helps maintain their support and is a declaration that the project manager can begin to use company resources to plan and execute the project. Announcing the approval of the project charter ensures the stakeholders are aware of their role and responsibilities, the key deliverables, and important proj","Conduct stakeholder analysisIncorrect. Stakeholder analysis is a technique used in the Identify Stakeholder process to systematically gather and analyze quantitative and qualitative information to determine whose interests should be taken into account throughout the project. In this situation, since project planning has not yet started, stakeholder analysis would have been performed as part of the","Hold a project kick-off meetingIncorrect. The project kick-off meeting is usually associated with the end of planning and the start of executing. Its purpose is to communicate the project objectives, gain team commitment for the project, and explain the roles and responsibilities of each stakeholder. Since the scenario describes a project in initiating, this answer choice is incorrect. Note, when ","Inform the key stakeholders of the approved project charterCorrect. Once the project charter is approved, the identified stakeholders should be informed the project has received authorization to proceed. Informing stakeholders of the approved project charter ensures a common understanding of the key deliverables, milestones, and their roles and responsibilities.","Perform the Plan Stakeholder Engagement processIncorrect. The Plan Stakeholder Engagement process describes the approach to involve project stakeholders based on their needs, expectations, interests, and potential impact on the project. The Plan Stakeholder Engagement process is performed as part of planning. Since the scenario indicates the project is still in initiating, this answer choice is in"
15,"During project planning, you review the stakeholder register with your project team to develop approaches for involving stakeholders in the project. You realize that one particular group of stakeholders may have a significant influence on the project and ask your team to start working with the group immediately. What is the most likely reason for your decision?",Stakeholders must authorize and approve all changes in the project work.,Early involvement of the stakeholders may reduce the cost of changes.,Stakeholder approval authorizes the project manager to start project work.,Early involvement of the stakeholders may increase the cost of changes.,B,How would stakeholder involvement in decisions at the beginning of the project positively benefit the overall project?,--- The question implies that you are carrying out the Plan Stakeholder Engagement process. The stakeholder register is an input to this process. You have identified an important group of stakeholders who may have a significant influence on the project and its expected outcomes. You are attempting to lessen the possibility of change requests or errors later in the project by engaging the stakeholders as early as possible. Including their input and involving them in the decisions at the start of ,"Stakeholders must authorize and approve all changes in the project work.Incorrect. Change approval authority is typically identified in the project management plan, and the responsibility usually goes to the project sponsor, project manager or designated change control board (CCB).","Early involvement of the stakeholders may reduce the cost of changes.Correct. Soliciting stakeholder’s input on project products or objectives early in the project life cycle decreases the potential impact on cost due to change requests later in the project. Engaging stakeholders, early and often throughout the project life cycle is key to project success. This includes appropriate stakeholder eng","Stakeholder approval authorizes the project manager to start project work.Incorrect. The project charter, not stakeholder approval, authorizes the project manager to begin project work.","Early involvement of the stakeholders may increase the cost of changes.Incorrect. Stakeholder input and influence on the project’s outcome has less, not greater, impact on cost and schedule when provided early in the project. Input and influence later in the project can equal increased errors and change requests and impact to project cost and schedule."
16,"A_system must be completed by October 31st or a penalty of $1,000 per day may be imposed. The table below reflects the current status of the project. At this point in the project, the system analysis, system design, and system development should have been complete. The method used to determine the earned value is based on percent complete. What is the current cost performance index?",0.62,0.87,1.15,"-$6,000",B,Cost performance index (CPI) is the earned value (EV) divided by the actual costs (AC).,"Cost performance index (CPI) is the earned value (EV) divided by the actual costs (AC). The current earned value is the sum of the earned values for every activity that has either been completed or is in progress. Thus, the earned value can be calculated by multiplying the activity's percent complete by the activity's planned value. The actual costs are the total costs of the individual activities. Note, since the scenario mentions that the method used to determine the earned value is based on p","0.62--- Incorrect. This answer choice represents the SPI which is calculated as SPI = EV / PV. However, the question is asking for the current CPI and not the SPI.","0.87Correct. Cost performance index (CPI) is the earned value (EV) divided by the actual costs (AC). The current earned value is the sum of the earned values for every activity that has either been completed or is in progress. Thus, the earned value can be calculated by multiplying the activity's percent complete by the activity's planned value. The actual costs are the total costs of the individu",1.15Incorrect. This answer choice represents an incorrect usage of the CPI formula where the numerator and denominator are transposed.,"-$6,000Incorrect. This answer choice represents the cost variance (CV) which is calculated as CV = EV - AC. However, the question is asking for the CPI and not the CV."
17,"You are managing a big project. To direct, manage, monitor and control your project work more efficiently, you want the project key performance indicators to be gathered and reported automatically. What is the best tool to use for this purpose?",Project management information system,Published estimating data,Communication technology,Performance reviews,A,This tool is one of the enterprise environmental factors.,"- **A project management information system is an enterprise environmental factor. The system can** be used as a tool or technique of, or serve as an input to, many project management processes. The project management information system consists of the tools and techniques used to gather, integrate, and disseminate the outputs of project management processes. The system is used to support all aspects of the project from initiating through closing, for example providing access to tools such as a ","Project management information systemCorrect. A project management information system can be used as a tool or technique of, or serve as an input to, many project management processes. Among other capabilities, the project management information system can automatically gather and report on project key performance indicators.","Published estimating dataIncorrect. Published estimating data are among the inputs of the Estimate Activity Resources process. Some organizations publish data, such as production rates and unit costs of resources, while carrying out the Estimate Activity Resources process. Published estimating data is not relevant to the project key performance indicators.","Communication technologyIncorrect. Communication technology is what enables information, such as key performance indicators, to be communicated to the project stakeholders. However, communication technology on its own does not automatically gather and report on project key performance indicators.","Performance reviewsIncorrect. Performance reviews are among the tools and techniques of data analysis. Performance reviews do not gather and report key performance indicators, neither automatically nor manually."
18,"You are leading a project to replace an aging bridge spanning a river in a heavily populated area. The new bridge would include a pedestrian pathway, that is not a feature of the existing bridge. The bridge is well under construction when residents learn the pathway would allow strangers to enter their neighborhood at all times. The residents demand the elimination of the pathway. What would have been the best course of action to avoid this situation?",Identify the pathway as a possible point of contention with stakeholders early in the project,Nothing could have been done differently because the project was authorized per the project,Engage a public relations company to handle community outreach once local residents voiced,Reroute the pathway entrance during construction to an old railway trail instead of the local,A,The project manager should have been proactive. ---,"The project team under the guidance of the project manager needs to be able to assess the project situation, balance the demands, and maintain proactive communications with stakeholders in order to deliver a successful project. In this case, a thorough assessment of the project's impact on all stakeholders early in the project life cycle may have identified the potential resistance of the local residents to the pathway. Identifying potential issues early allows the project team to proactively ad","Identify the pathway as a possible point of contention with stakeholders early in the projectCorrect. By identifying the problem with the pathway early, the project team could have engaged the local residents proactively and worked out a possible win-win solution for both parties.",Nothing could have been done differently because the project was authorized per the projectcharter Incorrect. Just because the project was authorized does not mean steps could not have been taken to avoid the situation. The conflict could have been avoided if a proper assessment of the project's impact on the stakeholders was conducted early in the project before the project management plan was ap,Engage a public relations company to handle community outreach once local residents voicedtheir disapproval Incorrect. This answer choice is not the best answer because engaging a public relations company after the local residents voice their disapproval is reactive and would not have 'avoided' the situation. The project manager and team should be proactive whenever possible in identifying potenti,"Reroute the pathway entrance during construction to an old railway trail instead of the localstreet Incorrect. Rerouting the entrance and exit points to another location may or may not resolve the local residents immediate concern and very well could lead to another conflict with the local community. Therefore, this choice is not the best answer to the question asked. ---"
19,"The client contends that the project's deliverables do not meet the agreed-upon specifications and have to be reworked. The client shows the meeting minutes to the project manager saying that the standard for the acceptance of the deliverables was discussed earlier in the project, during one of the status calls. What should the project manager do first?",Check the project charter for the contract terms,Agree to rework the deliverables to meet the requirements as requested by the customer,Review the agreements for the acceptance criteria,Tell the customer to proceed with claims administration to resolve the issue,C,Where are the agreed-upon acceptance criteria found?,"The premise of the question is taken from the perspective of the seller, which is providing the deliverables to the buyer. The buyer conducted a procurement process and contracted with the seller to deliver the product and/or service. The contract contains the terms and conditions of the agreement including the agreed-upon acceptance criteria. The agreements serve as an input for the Collect Requirements process, and the acceptance criteria are then used during the inspection in the Validate Sco",Check the project charter for the contract termsIncorrect. The project charter will contain high-level information about the project but is not a source for acceptance criteria.,"Agree to rework the deliverables to meet the requirements as requested by the customerIncorrect. It is not known from the question what information was captured in the meeting minutes, and the meeting minutes may contain some requirements for the deliverables. However, the meeting minutes are not the legally binding agreements made by the parties.","Review the agreements for the acceptance criteriaCorrect. The project manager must first understand the agreed-upon acceptance criteria. The acceptance criteria will be contained in the terms and conditions of the contract, and a contract is an example of a mutually binding agreement.","Tell the customer to proceed with claims administration to resolve the issue--- Incorrect. Claims administration is the process of processing, adjudicating, and communicating contract claims. Proceeding with claims administration is a premature action as the project manager should first seek to understand the agreed-upon acceptance criteria."
20,Which of the following would be one of the last tasks for a project manager to perform as part of the administrative closure of a project?,Obtaining formal acceptance of the project deliverables,Conducting earned value analysis,Evaluating stakeholder satisfaction with the project,Verifying the correctness of the deliverables,C,"The term ""administrative closure"" is sometimes used to describe what process?",- **A project is considered a success when the project objectives have been achieved. One important** objective established early in the project's planning is stakeholder satisfaction. Stakeholder satisfaction should be monitored throughout the project and finally used as a measure of project success at the end of the project. The question surrounds the administrative closure of a project implying the answer choice should be one of the activities carried out during the Close Project or Phase pro,"Obtaining formal acceptance of the project deliverablesIncorrect. Obtaining formal acceptance of the deliverables is done as part of the Validate Scope process. In the Close Project or Phase process implied by the scenario, acceptance of the deliverables is 'confirmed', not 'obtained'. While the difference is subtle, it is strong enough to make this choice an incorrect answer.","Conducting earned value analysisIncorrect. Earned value analysis compares the performance measurement baseline to the actual scope, schedule, and cost performance and is typically used as one of the tools and techniques in the Monitoring and Controlling Process Group. Earned value analysis would not be performed as part of the Close Project or Phase process described by the question.","Evaluating stakeholder satisfaction with the projectCorrect. Measuring and evaluating stakeholder satisfaction is one of the last tasks performed during the Close Project or Phase process suggested by the scenario. Stakeholder satisfaction is one of the main objectives established early in project planning, monitored throughout the project, and finally used as a measure of success at the end of th","Verifying the correctness of the deliverables--- Incorrect. Verifying the correctness of deliverables is a function of the Control Quality process, while the question is asking about the administrative closure of a project, thus referring to the Close Project or Phase process."
